"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","13.2760","13.1517","13.3186","12.7510","","0.66%"
"12/30/2008","13.1892","13.1283","13.5765","13.0814","","-0.33%"
"12/29/2008","13.2325","13.5609","13.8235","13.1299","","-3.15%"
"12/26/2008","13.6624","13.6827","13.8219","13.5059","","-0.02%"
"12/25/2008","13.6651","13.6174","13.7432","13.5548","","0.18%"
"12/24/2008","13.6403","13.4315","13.6685","13.2836","","0.78%"
"12/23/2008","13.5354","13.4533","13.7672","13.3571","","-0.04%"
"12/22/2008","13.5411","13.6284","13.8135","13.3189","","-0.61%"
"12/19/2008","13.6243","13.7132","13.8450","13.2043","","-0.86%"
"12/18/2008","13.7431","14.1035","14.4741","13.4663","","-2.90%"
"12/17/2008","14.1532","14.0741","14.3284","13.8768","","-0.18%"
"12/16/2008","14.1791","13.8655","14.2937","13.7443","","1.70%"
"12/15/2008","13.9426","13.5074","14.0179","13.3672","","2.76%"
"12/12/2008","13.5675","13.2909","13.7020","13.1626","","1.55%"
"12/11/2008","13.3604","13.2092","13.5435","13.0980","","1.06%"
"12/10/2008","13.2197","13.1869","13.3510","13.0449","","0.21%"
"12/09/2008","13.1920","13.0965","13.2298","12.9561","","0.56%"
"12/08/2008","13.1181","13.0678","13.2641","12.8733","","0.10%"
"12/05/2008","13.1048","13.1046","13.3563","12.8684","","-0.31%"
"12/04/2008","13.1455","12.8666","13.2331","12.7461","","1.54%"
"12/03/2008","12.9466","13.0054","13.2221","12.7168","","-1.44%"
"12/02/2008","13.1363","13.1417","13.4723","12.9435","","-1.35%"
"12/01/2008","13.3157","12.8552","13.3388","12.6567","","3.16%"
"11/28/2008","12.9076","12.7095","13.0972","12.6372","","1.15%"
"11/27/2008","12.7606","12.7398","12.9074","12.6002","","-0.17%"
"11/26/2008","12.7824","12.7364","13.0807","12.5945","","0.40%"
"11/25/2008","12.7313","12.9658","13.0937","12.5884","","-2.08%"
"11/24/2008","13.0024","13.1555","13.4256","12.8572","","-1.28%"
"11/21/2008","13.1707","13.3450","13.4976","12.9742","","-1.78%"
"11/20/2008","13.4096","13.1334","13.4792","13.0125","","1.69%"
"11/19/2008","13.1867","12.9084","13.3556","12.8093","","1.60%"
"11/18/2008","12.9795","12.8536","13.1266","12.7003","","0.71%"
"11/17/2008","12.8878","12.5119","13.0058","12.5100","","1.84%"
"11/14/2008","12.6552","13.0803","13.2461","12.5894","","-3.22%"
"11/13/2008","13.0765","13.0396","13.3941","12.7555","","-0.14%"
"11/12/2008","13.0946","12.8767","13.2723","12.7719","","1.08%"
"11/11/2008","12.9541","12.7157","13.1555","12.6421","","1.58%"
"11/10/2008","12.7526","12.5347","12.9546","12.4886","","-1.43%"
"11/07/2008","12.9370","13.0288","13.1141","12.6884","","-1.04%"
"11/06/2008","13.0730","12.6091","13.0899","12.3581","","3.35%"
"11/05/2008","12.6489","12.5711","12.6900","12.2168","","-0.03%"
"11/04/2008","12.6525","12.6979","12.8157","12.3701","","-0.18%"
"11/03/2008","12.6753","12.3636","12.7727","12.2556","","1.79%"
"10/31/2008","12.4529","12.6493","12.9960","12.3068","","-2.55%"
"10/30/2008","12.7789","12.6360","13.1594","12.4013","","0.50%"
"10/29/2008","12.7153","13.0504","13.4051","12.4999","","-2.67%"
"10/28/2008","13.0645","13.7203","13.8138","12.8605","","-5.13%"
"10/27/2008","13.7704","13.9597","14.3773","13.3107","","-2.39%"
"10/24/2008","14.1073","14.2314","14.7795","13.6008","","-1.52%"
"10/23/2008","14.3247","14.9019","15.2128","14.0406","","-4.22%"
"10/22/2008","14.9551","13.8428","15.2822","13.4968","","7.51%"
"10/21/2008","13.9105","13.5070","14.1048","13.2594","","2.55%"
"10/20/2008","13.5646","13.3705","13.7376","13.1466","","0.66%"
