"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"12/30/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/29/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/26/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/25/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/24/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/23/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"12/22/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/19/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/18/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/17/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/16/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/15/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/12/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/11/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/10/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/09/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/08/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/05/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/04/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"12/03/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"12/02/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"12/01/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/28/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/27/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"11/26/2008","0.1290","0.1290","0.1290","0.1289","","0.08%"
"11/25/2008","0.1289","0.1290","0.1290","0.1289","","-0.08%"
"11/24/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"11/21/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/20/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/19/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/18/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/17/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/14/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/13/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/12/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/11/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/10/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/07/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/06/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/05/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/04/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"11/03/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"10/31/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"10/30/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"10/29/2008","0.1290","0.1290","0.1290","0.1290","","0.00%"
"10/28/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"10/27/2008","0.1290","0.1290","0.1291","0.1290","","0.00%"
"10/24/2008","0.1290","0.1290","0.1290","0.1289","","0.00%"
"10/23/2008","0.1290","0.1290","0.1290","0.1289","","0.00%"
"10/22/2008","0.1290","0.1290","0.1290","0.1289","","0.00%"
"10/21/2008","0.1290","0.1289","0.1290","0.1289","","0.08%"
"10/20/2008","0.1289","0.1289","0.1290","0.1289","","0.00%"
"10/17/2008","0.1289","0.1289","0.1290","0.1289","","0.00%"
"10/16/2008","0.1289","0.1289","0.1290","0.1289","","0.00%"
"10/15/2008","0.1289","0.1289","0.1290","0.1288","","0.00%"
"10/14/2008","0.1289","0.1289","0.1289","0.1288","","0.00%"
"10/13/2008","0.1289","0.1289","0.1289","0.1288","","0.08%"
"10/10/2008","0.1288","0.1288","0.1290","0.1288","","0.00%"
"10/09/2008","0.1288","0.1288","0.1289","0.1287","","0.00%"
"10/08/2008","0.1288","0.1287","0.1289","0.1287","","0.08%"
"10/07/2008","0.1287","0.1287","0.1288","0.1286","","0.00%"
"10/06/2008","0.1287","0.1287","0.1288","0.1286","","0.00%"
"10/03/2008","0.1287","0.1287","0.1288","0.1287","","0.00%"
"10/02/2008","0.1287","0.1287","0.1288","0.1286","","0.00%"
"10/01/2008","0.1287","0.1288","0.1288","0.1287","","-0.08%"
"09/30/2008","0.1288","0.1288","0.1289","0.1287","","0.00%"
"09/29/2008","0.1288","0.1286","0.1289","0.1286","","0.16%"
"09/26/2008","0.1286","0.1286","0.1287","0.1285","","0.00%"
"09/25/2008","0.1286","0.1288","0.1288","0.1285","","-0.16%"
"09/24/2008","0.1288","0.1289","0.1289","0.1288","","-0.08%"
"09/23/2008","0.1289","0.1287","0.1289","0.1287","","0.16%"
"09/22/2008","0.1287","0.1286","0.1287","0.1285","","0.08%"
"09/19/2008","0.1286","0.1285","0.1286","0.1285","","0.08%"
"09/18/2008","0.1285","0.1285","0.1286","0.1285","","0.00%"
"09/17/2008","0.1285","0.1286","0.1286","0.1284","","-0.08%"
"09/16/2008","0.1286","0.1284","0.1287","0.1283","","0.16%"
"09/15/2008","0.1284","0.1283","0.1285","0.1282","","0.16%"
"09/12/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"09/11/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"09/10/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"09/09/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"09/08/2008","0.1282","0.1281","0.1282","0.1281","","0.08%"
"09/05/2008","0.1281","0.1281","0.1281","0.1280","","0.00%"
"09/04/2008","0.1281","0.1281","0.1281","0.1281","","0.00%"
"09/03/2008","0.1281","0.1281","0.1281","0.1280","","0.00%"
"09/02/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"09/01/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"08/29/2008","0.1281","0.1281","0.1283","0.1281","","0.00%"
"08/28/2008","0.1281","0.1281","0.1281","0.1281","","0.00%"
"08/27/2008","0.1281","0.1281","0.1281","0.1281","","0.00%"
"08/26/2008","0.1281","0.1281","0.1281","0.1281","","0.00%"
"08/25/2008","0.1281","0.1281","0.1281","0.1280","","0.00%"
"08/22/2008","0.1281","0.1281","0.1281","0.1281","","0.00%"
"08/21/2008","0.1281","0.1281","0.1281","0.1280","","0.08%"
"08/20/2008","0.1280","0.1280","0.1281","0.1280","","0.00%"
"08/19/2008","0.1280","0.1280","0.1280","0.1280","","0.00%"
"08/18/2008","0.1280","0.1280","0.1280","0.1280","","0.00%"
"08/15/2008","0.1280","0.1280","0.1281","0.1280","","0.00%"
"08/14/2008","0.1280","0.1281","0.1281","0.1280","","-0.08%"
"08/13/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"08/12/2008","0.1281","0.1281","0.1281","0.1280","","0.08%"
"08/11/2008","0.1280","0.1280","0.1281","0.1280","","0.00%"
"08/08/2008","0.1280","0.1281","0.1282","0.1280","","-0.08%"
"08/07/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"08/06/2008","0.1281","0.1282","0.1282","0.1281","","0.00%"
"08/05/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"08/04/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"08/01/2008","0.1281","0.1282","0.1282","0.1281","","-0.08%"
"07/31/2008","0.1282","0.1282","0.1282","0.1282","","0.00%"
"07/30/2008","0.1282","0.1282","0.1282","0.1281","","0.00%"
"07/29/2008","0.1282","0.1282","0.1282","0.1281","","0.00%"
"07/28/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/25/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/24/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/23/2008","0.1282","0.1283","0.1283","0.1282","","-0.08%"
"07/22/2008","0.1283","0.1283","0.1283","0.1282","","0.08%"
"07/21/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/18/2008","0.1282","0.1283","0.1283","0.1282","","0.00%"
"07/17/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/16/2008","0.1282","0.1283","0.1283","0.1282","","0.00%"
"07/15/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/14/2008","0.1282","0.1282","0.1282","0.1281","","0.08%"
"07/11/2008","0.1281","0.1282","0.1282","0.1281","","-0.08%"
"07/10/2008","0.1282","0.1282","0.1282","0.1281","","0.00%"
"07/09/2008","0.1282","0.1282","0.1282","0.1282","","0.00%"
"07/08/2008","0.1282","0.1282","0.1282","0.1282","","0.00%"
"07/07/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/04/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/03/2008","0.1282","0.1283","0.1283","0.1282","","0.00%"
"07/02/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"07/01/2008","0.1282","0.1283","0.1283","0.1282","","0.00%"
"06/30/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"06/27/2008","0.1282","0.1282","0.1282","0.1281","","0.08%"
"06/26/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/25/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/24/2008","0.1281","0.1281","0.1281","0.1281","","0.00%"
"06/23/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/20/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/19/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/18/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/17/2008","0.1281","0.1281","0.1281","0.1280","","0.08%"
"06/16/2008","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/13/2008","0.1280","0.1280","0.1281","0.1279","","0.00%"
"06/12/2008","0.1280","0.1281","0.1282","0.1279","","-0.08%"
"06/11/2008","0.1281","0.1280","0.1281","0.1280","","0.08%"
"06/10/2008","0.1280","0.1281","0.1281","0.1280","","-0.08%"
"06/09/2008","0.1281","0.1281","0.1281","0.1280","","0.00%"
"06/06/2008","0.1281","0.1281","0.1281","0.1280","","0.00%"
"06/05/2008","0.1281","0.1281","0.1281","0.1280","","0.00%"
"06/04/2008","0.1281","0.1281","0.1282","0.1280","","0.00%"
"06/03/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/02/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"05/30/2008","0.1281","0.1282","0.1282","0.1281","","0.00%"
"05/29/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"05/28/2008","0.1281","0.1281","0.1282","0.1281","","0.00%"
"05/27/2008","0.1281","0.1282","0.1282","0.1281","","0.00%"
"05/26/2008","0.1281","0.1282","0.1282","0.1281","","-0.08%"
"05/23/2008","0.1282","0.1282","0.1282","0.1281","","0.00%"
"05/22/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"05/21/2008","0.1282","0.1282","0.1282","0.1282","","0.00%"
"05/20/2008","0.1282","0.1282","0.1282","0.1282","","0.00%"
"05/19/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"05/16/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"05/15/2008","0.1282","0.1282","0.1283","0.1282","","0.00%"
"05/14/2008","0.1282","0.1283","0.1283","0.1282","","-0.08%"
"05/13/2008","0.1283","0.1283","0.1283","0.1282","","0.00%"
"05/12/2008","0.1283","0.1283","0.1283","0.1283","","0.00%"
"05/09/2008","0.1283","0.1283","0.1283","0.1282","","0.00%"
"05/08/2008","0.1283","0.1283","0.1283","0.1283","","0.00%"
"05/07/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"05/06/2008","0.1283","0.1283","0.1283","0.1283","","0.00%"
"05/05/2008","0.1283","0.1283","0.1283","0.1283","","0.00%"
"05/02/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"05/01/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/30/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/29/2008","0.1283","0.1284","0.1284","0.1283","","-0.08%"
"04/28/2008","0.1284","0.1284","0.1284","0.1283","","0.08%"
"04/25/2008","0.1283","0.1284","0.1284","0.1283","","-0.08%"
"04/24/2008","0.1284","0.1283","0.1284","0.1283","","0.08%"
"04/23/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/22/2008","0.1283","0.1283","0.1283","0.1283","","0.00%"
"04/21/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/18/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/17/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/16/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/15/2008","0.1283","0.1283","0.1284","0.1283","","0.00%"
"04/14/2008","0.1283","0.1284","0.1284","0.1283","","-0.08%"
"04/11/2008","0.1284","0.1284","0.1285","0.1284","","0.00%"
"04/10/2008","0.1284","0.1284","0.1285","0.1284","","0.00%"
"04/09/2008","0.1284","0.1284","0.1284","0.1283","","0.00%"
"04/08/2008","0.1284","0.1284","0.1284","0.1284","","0.00%"
"04/07/2008","0.1284","0.1284","0.1284","0.1283","","0.08%"
"04/04/2008","0.1283","0.1284","0.1284","0.1283","","-0.08%"
"04/03/2008","0.1284","0.1284","0.1284","0.1283","","0.00%"
"04/02/2008","0.1284","0.1284","0.1285","0.1283","","0.00%"
"04/01/2008","0.1284","0.1285","0.1285","0.1284","","-0.08%"
"03/31/2008","0.1285","0.1285","0.1285","0.1285","","0.00%"
"03/28/2008","0.1285","0.1285","0.1286","0.1285","","0.00%"
"03/27/2008","0.1285","0.1285","0.1286","0.1285","","0.00%"
"03/26/2008","0.1285","0.1286","0.1286","0.1285","","-0.08%"
"03/25/2008","0.1286","0.1286","0.1286","0.1285","","0.00%"
"03/24/2008","0.1286","0.1286","0.1286","0.1285","","0.00%"
"03/21/2008","0.1286","0.1286","0.1287","0.1285","","0.00%"
