"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.03280","0.03400","0.03410","0.03260","","-3.53%"
"12/30/2008","0.03400","0.03380","0.03430","0.03370","","0.00%"
"12/29/2008","0.03400","0.03440","0.03480","0.03390","","-1.45%"
"12/26/2008","0.03450","0.03480","0.03500","0.03440","","-0.86%"
"12/25/2008","0.03480","0.03490","0.03500","0.03480","","0.00%"
"12/24/2008","0.03480","0.03520","0.03530","0.03470","","-1.14%"
"12/23/2008","0.03520","0.03520","0.03530","0.03520","","-0.28%"
"12/22/2008","0.03530","0.03550","0.03580","0.03510","","-0.28%"
"12/19/2008","0.03540","0.03650","0.03650","0.03540","","-3.01%"
"12/18/2008","0.03650","0.03670","0.03700","0.03610","","-0.54%"
"12/17/2008","0.03670","0.03670","0.03690","0.03620","","-0.27%"
"12/16/2008","0.03680","0.03620","0.03680","0.03610","","1.66%"
"12/15/2008","0.03620","0.03610","0.03640","0.03590","","0.56%"
"12/12/2008","0.03600","0.03610","0.03630","0.03590","","-0.55%"
"12/11/2008","0.03620","0.03590","0.03630","0.03580","","0.84%"
"12/10/2008","0.03590","0.03580","0.03600","0.03580","","0.28%"
"12/09/2008","0.03580","0.03590","0.03600","0.03560","","0.00%"
"12/08/2008","0.03580","0.03550","0.03600","0.03550","","1.13%"
"12/05/2008","0.03540","0.03580","0.03580","0.03530","","-1.12%"
"12/04/2008","0.03580","0.03580","0.03590","0.03560","","0.00%"
"12/03/2008","0.03580","0.03580","0.03590","0.03570","","0.00%"
"12/02/2008","0.03580","0.03570","0.03600","0.03560","","0.00%"
"12/01/2008","0.03580","0.03580","0.03580","0.03560","","0.00%"
"11/28/2008","0.03580","0.03640","0.03650","0.03570","","-1.65%"
"11/27/2008","0.03640","0.03650","0.03670","0.03640","","0.00%"
"11/26/2008","0.03640","0.03670","0.03680","0.03630","","-0.82%"
"11/25/2008","0.03670","0.03660","0.03680","0.03640","","0.55%"
"11/24/2008","0.03650","0.03640","0.03670","0.03600","","0.27%"
"11/21/2008","0.03640","0.03620","0.03650","0.03620","","0.00%"
"11/20/2008","0.03640","0.03620","0.03650","0.03620","","0.28%"
"11/19/2008","0.03630","0.03640","0.03680","0.03620","","-0.27%"
"11/18/2008","0.03640","0.03640","0.03650","0.03630","","0.00%"
"11/17/2008","0.03640","0.03650","0.03680","0.03630","","-0.27%"
"11/14/2008","0.03650","0.03660","0.03680","0.03640","","0.27%"
"11/13/2008","0.03640","0.03620","0.03650","0.03610","","0.28%"
"11/12/2008","0.03630","0.03630","0.03640","0.03620","","-0.27%"
"11/11/2008","0.03640","0.03700","0.03700","0.03620","","-1.36%"
"11/10/2008","0.03690","0.03710","0.03720","0.03690","","-0.27%"
"11/07/2008","0.03700","0.03700","0.03710","0.03690","","0.27%"
"11/06/2008","0.03690","0.03730","0.03730","0.03690","","-0.81%"
"11/05/2008","0.03720","0.03730","0.03760","0.03710","","-0.53%"
"11/04/2008","0.03740","0.03680","0.03750","0.03670","","1.36%"
"11/03/2008","0.03690","0.03700","0.03720","0.03680","","0.00%"
"10/31/2008","0.03690","0.03720","0.03720","0.03680","","-0.81%"
"10/30/2008","0.03720","0.03730","0.03770","0.03710","","0.00%"
"10/29/2008","0.03720","0.03700","0.03740","0.03680","","0.81%"
"10/28/2008","0.03690","0.03650","0.03700","0.03630","","1.10%"
"10/27/2008","0.03650","0.03680","0.03690","0.03640","","-0.82%"
"10/24/2008","0.03680","0.03730","0.03730","0.03660","","-1.08%"
"10/23/2008","0.03720","0.03710","0.03720","0.03690","","0.00%"
"10/22/2008","0.03720","0.03740","0.03740","0.03700","","-0.53%"
"10/21/2008","0.03740","0.03790","0.03810","0.03740","","-1.32%"
"10/20/2008","0.03790","0.03790","0.03870","0.03780","","0.00%"
"10/17/2008","0.03790","0.03810","0.03820","0.03790","","-0.52%"
"10/16/2008","0.03810","0.03800","0.03820","0.03780","","0.00%"
"10/15/2008","0.03810","0.03830","0.03840","0.03800","","-0.26%"
"10/14/2008","0.03820","0.03820","0.03860","0.03820","","0.00%"
"10/13/2008","0.03820","0.03810","0.03840","0.03800","","0.00%"
"10/10/2008","0.03820","0.03820","0.03830","0.03810","","0.00%"
"10/09/2008","0.03820","0.03830","0.03860","0.03820","","-0.26%"
"10/08/2008","0.03830","0.03830","0.03860","0.03810","","0.26%"
"10/07/2008","0.03820","0.03810","0.03840","0.03800","","0.26%"
"10/06/2008","0.03810","0.03830","0.03840","0.03800","","-1.30%"
"10/03/2008","0.03860","0.03860","0.03870","0.03840","","0.00%"
"10/02/2008","0.03860","0.03890","0.03890","0.03840","","-0.52%"
"10/01/2008","0.03880","0.03900","0.03920","0.03880","","-0.26%"
"09/30/2008","0.03890","0.03950","0.03960","0.03890","","-1.77%"
"09/29/2008","0.03960","0.03980","0.03990","0.03930","","-0.75%"
"09/26/2008","0.03990","0.03990","0.04010","0.03980","","0.00%"
"09/25/2008","0.03990","0.03990","0.04030","0.03980","","0.00%"
"09/24/2008","0.03990","0.03980","0.04010","0.03980","","0.25%"
"09/23/2008","0.03980","0.04000","0.04010","0.03980","","-0.25%"
"09/22/2008","0.03990","0.03960","0.04010","0.03950","","0.76%"
"09/19/2008","0.03960","0.03930","0.03970","0.03910","","0.76%"
"09/18/2008","0.03930","0.03930","0.03970","0.03930","","0.00%"
"09/17/2008","0.03930","0.03900","0.03940","0.03900","","0.51%"
"09/16/2008","0.03910","0.03920","0.03940","0.03900","","-0.51%"
"09/15/2008","0.03930","0.03920","0.03960","0.03900","","0.26%"
"09/12/2008","0.03920","0.03890","0.03920","0.03880","","1.03%"
"09/11/2008","0.03880","0.03880","0.03880","0.03860","","0.00%"
"09/10/2008","0.03880","0.03910","0.03920","0.03880","","-0.77%"
"09/09/2008","0.03910","0.03910","0.03930","0.03900","","-0.26%"
"09/08/2008","0.03920","0.03940","0.03970","0.03900","","-0.25%"
"09/05/2008","0.03930","0.03930","0.03940","0.03920","","0.00%"
"09/04/2008","0.03930","0.03980","0.03990","0.03930","","-1.26%"
"09/03/2008","0.03980","0.04030","0.04040","0.03960","","-1.24%"
"09/02/2008","0.04030","0.04050","0.04060","0.04030","","-0.74%"
