"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.10540","0.10580","0.10910","0.10420","","-1.22%"
"12/30/2008","0.10670","0.10540","0.10760","0.10430","","1.04%"
"12/29/2008","0.10560","0.10240","0.10680","0.10240","","2.62%"
"12/26/2008","0.10290","0.10140","0.10370","0.10130","","0.29%"
"12/25/2008","0.10260","0.10230","0.10320","0.10170","","-0.10%"
"12/24/2008","0.10270","0.10280","0.10480","0.10200","","-0.68%"
"12/23/2008","0.10340","0.10270","0.10450","0.10120","","0.49%"
"12/22/2008","0.10290","0.10280","0.10480","0.10150","","0.68%"
"12/19/2008","0.10220","0.10290","0.10440","0.10140","","-0.97%"
"12/18/2008","0.10320","0.10140","0.10570","0.10050","","1.38%"
"12/17/2008","0.10180","0.09930","0.10270","0.09860","","2.31%"
"12/16/2008","0.09950","0.09810","0.10030","0.09600","","1.22%"
"12/15/2008","0.09830","0.09860","0.10060","0.09720","","-0.30%"
"12/12/2008","0.09860","0.09970","0.10060","0.09700","","-1.30%"
"12/11/2008","0.09990","0.09760","0.10130","0.09750","","1.52%"
"12/10/2008","0.09840","0.09760","0.09940","0.09670","","0.61%"
"12/09/2008","0.09780","0.09790","0.09990","0.09730","","-0.81%"
"12/08/2008","0.09860","0.09640","0.10030","0.09640","","1.44%"
"12/05/2008","0.09720","0.09680","0.09880","0.09450","","0.00%"
"12/04/2008","0.09720","0.09790","0.09940","0.09630","","-1.02%"
"12/03/2008","0.09820","0.09680","0.09940","0.09550","","1.45%"
"12/02/2008","0.09680","0.09500","0.09730","0.09290","","2.11%"
"12/01/2008","0.09480","0.09920","0.09990","0.09430","","-3.66%"
"11/28/2008","0.09840","0.10040","0.10180","0.09790","","-2.57%"
"11/27/2008","0.10100","0.10050","0.10240","0.09980","","0.20%"
"11/26/2008","0.10080","0.10160","0.10300","0.09900","","-1.75%"
"11/25/2008","0.10260","0.09870","0.10360","0.09800","","3.32%"
"11/24/2008","0.09930","0.09470","0.09990","0.09370","","3.98%"
"11/21/2008","0.09550","0.09240","0.09700","0.09220","","2.80%"
"11/20/2008","0.09290","0.09470","0.09580","0.09230","","-2.21%"
"11/19/2008","0.09500","0.09710","0.09860","0.09440","","-2.36%"
"11/18/2008","0.09730","0.09790","0.09890","0.09550","","-0.82%"
"11/17/2008","0.09810","0.09840","0.10060","0.09700","","-1.80%"
"11/14/2008","0.09990","0.09720","0.10100","0.09570","","2.15%"
"11/13/2008","0.09780","0.09490","0.09810","0.09310","","2.62%"
"11/12/2008","0.09530","0.09640","0.09870","0.09420","","-1.45%"
"11/11/2008","0.09670","0.09950","0.10040","0.09540","","-3.11%"
"11/10/2008","0.09980","0.10190","0.10250","0.09860","","1.32%"
"11/07/2008","0.09850","0.09690","0.10060","0.09650","","1.44%"
"11/06/2008","0.09710","0.10200","0.10390","0.09660","","-5.08%"
"11/05/2008","0.10230","0.10210","0.10580","0.10090","","-0.49%"
"11/04/2008","0.10280","0.09870","0.10460","0.09840","","3.01%"
"11/03/2008","0.09980","0.10200","0.10460","0.09930","","-2.44%"
"10/31/2008","0.10230","0.10070","0.10290","0.09700","","1.39%"
"10/30/2008","0.10090","0.10160","0.10630","0.09940","","-0.98%"
"10/29/2008","0.10190","0.09750","0.10340","0.09480","","4.73%"
"10/28/2008","0.09730","0.09020","0.09830","0.09010","","6.92%"
"10/27/2008","0.09100","0.08930","0.09350","0.08660","","1.68%"
"10/24/2008","0.08950","0.09000","0.09310","0.08420","","-1.21%"
"10/23/2008","0.09060","0.08560","0.09450","0.08410","","5.47%"
"10/22/2008","0.08590","0.09370","0.09570","0.08380","","-8.52%"
"10/21/2008","0.09390","0.09830","0.10030","0.09290","","-4.77%"
"10/20/2008","0.09860","0.09970","0.10230","0.09700","","-0.90%"
"10/17/2008","0.09950","0.09860","0.10180","0.09500","","1.22%"
"10/16/2008","0.09830","0.09400","0.10240","0.09170","","5.25%"
"10/15/2008","0.09340","0.10960","0.11040","0.09260","","-14.78%"
"10/14/2008","0.10960","0.11010","0.11360","0.10830","","-0.18%"
"10/13/2008","0.10980","0.10840","0.11020","0.10730","","3.98%"
"10/10/2008","0.10560","0.10690","0.10870","0.10500","","-0.75%"
"10/09/2008","0.10640","0.10880","0.11240","0.10620","","-2.30%"
"10/08/2008","0.10890","0.11190","0.11270","0.10550","","-2.77%"
"10/07/2008","0.11200","0.11270","0.11570","0.11100","","-0.71%"
"10/06/2008","0.11280","0.11730","0.11780","0.11100","","-4.33%"
"10/03/2008","0.11790","0.11760","0.11960","0.11650","","0.34%"
"10/02/2008","0.11750","0.12130","0.12150","0.11680","","-3.13%"
"10/01/2008","0.12130","0.12060","0.12190","0.12010","","0.50%"
"09/30/2008","0.12070","0.11950","0.12110","0.11890","","0.75%"
"09/29/2008","0.11980","0.12290","0.12420","0.11880","","-3.23%"
"09/26/2008","0.12380","0.12300","0.12460","0.12180","","0.49%"
"09/25/2008","0.12320","0.12230","0.12380","0.12130","","0.65%"
"09/24/2008","0.12240","0.12180","0.12390","0.12150","","0.33%"
"09/23/2008","0.12200","0.12510","0.12640","0.12130","","-2.40%"
"09/22/2008","0.12500","0.12410","0.12630","0.12360","","-1.03%"
"09/19/2008","0.12630","0.12220","0.12760","0.12180","","3.36%"
"09/18/2008","0.12220","0.12040","0.12350","0.11920","","0.99%"
"09/17/2008","0.12100","0.12280","0.12440","0.12050","","-1.47%"
"09/16/2008","0.12280","0.12390","0.12430","0.12050","","-0.97%"
"09/15/2008","0.12400","0.12310","0.12460","0.12080","","-0.88%"
"09/12/2008","0.12510","0.12250","0.12590","0.12140","","1.71%"
"09/11/2008","0.12300","0.12160","0.12390","0.11950","","1.07%"
"09/10/2008","0.12170","0.12480","0.12560","0.12110","","-2.48%"
"09/09/2008","0.12480","0.12610","0.12740","0.12400","","-1.19%"
"09/08/2008","0.12630","0.12610","0.12880","0.12530","","0.56%"
"09/05/2008","0.12560","0.12400","0.12630","0.12330","","0.88%"
"09/04/2008","0.12450","0.12680","0.12790","0.12400","","-2.05%"
"09/03/2008","0.12710","0.12830","0.12890","0.12590","","-1.17%"
"09/02/2008","0.12860","0.12880","0.12920","0.12720","","-0.31%"
"09/01/2008","0.12900","0.12960","0.13020","0.12830","","-0.62%"
"08/29/2008","0.12980","0.12910","0.13090","0.12890","","0.31%"
"08/28/2008","0.12940","0.12850","0.13070","0.12850","","0.31%"
"08/27/2008","0.12900","0.12790","0.12930","0.12750","","0.62%"
"08/26/2008","0.12820","0.12850","0.12930","0.12710","","-0.47%"
"08/25/2008","0.12880","0.13020","0.13070","0.12840","","-1.08%"
