"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","4,480.49","4,480.49","4,480.49","4,480.49","","-0.72%"
"09/21/2023","4,513.19","4,513.19","4,513.19","4,513.19","","-3.94%"
"09/20/2023","4,698.19","4,698.19","4,698.19","4,698.19","","-1.15%"
"09/19/2023","4,753.07","4,753.07","4,753.07","4,753.07","","-0.11%"
"09/18/2023","4,758.40","4,758.40","4,758.40","4,758.40","","-0.94%"
"09/15/2023","4,803.37","4,803.37","4,803.37","4,803.37","","0.51%"
"09/14/2023","4,778.85","4,778.85","4,778.85","4,778.85","","0.83%"
"09/13/2023","4,739.71","4,739.71","4,739.71","4,739.71","","-0.29%"
"09/12/2023","4,753.52","4,753.52","4,753.52","4,753.52","","0.27%"
"09/11/2023","4,740.66","4,740.66","4,740.66","4,740.66","","0.74%"
"09/08/2023","4,705.90","4,705.90","4,705.90","4,705.90","","0.61%"
"09/07/2023","4,677.39","4,677.39","4,677.39","4,677.39","","1.40%"
"09/06/2023","4,612.68","4,612.68","4,612.68","4,612.68","","0.52%"
"09/05/2023","4,588.84","4,588.84","4,588.84","4,588.84","","-0.09%"
"09/04/2023","4,592.88","4,592.88","4,592.88","4,592.88","","0.00%"
"09/01/2023","4,592.73","4,592.73","4,592.73","4,592.73","","-1.25%"
"08/31/2023","4,650.76","4,650.76","4,650.76","4,650.76","","-0.95%"
"08/30/2023","4,695.35","4,695.35","4,695.35","4,695.35","","-0.86%"
"08/29/2023","4,736.07","4,736.07","4,736.07","4,736.07","","0.90%"
"08/28/2023","4,693.93","4,693.93","4,693.93","4,693.93","","-0.17%"
"08/25/2023","4,702.01","4,702.01","4,702.01","4,702.01","","-0.68%"
"08/24/2023","4,734.33","4,734.33","4,734.33","4,734.33","","0.25%"
"08/23/2023","4,722.57","4,722.57","4,722.57","4,722.57","","0.79%"
"08/22/2023","4,685.44","4,685.44","4,685.44","4,685.44","","0.69%"
"08/21/2023","4,653.36","4,653.36","4,653.36","4,653.36","","0.38%"
"08/18/2023","4,635.53","4,635.53","4,635.53","4,635.53","","-0.46%"
"08/17/2023","4,657.00","4,657.00","4,657.00","4,657.00","","2.32%"
"08/16/2023","4,551.56","4,551.56","4,551.56","4,551.56","","-0.53%"
"08/15/2023","4,576.02","4,576.02","4,576.02","4,576.02","","-0.96%"
"08/14/2023","4,620.49","4,620.49","4,620.49","4,620.49","","-0.56%"
"08/11/2023","4,646.62","4,646.62","4,646.62","4,646.62","","0.52%"
"08/10/2023","4,622.54","4,622.54","4,622.54","4,622.54","","1.13%"
"08/09/2023","4,570.78","4,570.78","4,570.78","4,570.78","","-0.27%"
"08/08/2023","4,583.06","4,583.06","4,583.06","4,583.06","","1.37%"
"08/07/2023","4,521.34","4,521.34","4,521.34","4,521.34","","1.00%"
"08/04/2023","4,476.71","4,476.71","4,476.71","4,476.71","","0.23%"
"08/03/2023","4,466.38","4,466.38","4,466.38","4,466.38","","0.76%"
"08/02/2023","4,432.63","4,432.63","4,432.63","4,432.63","","-0.31%"
"08/01/2023","4,446.25","4,446.25","4,446.25","4,446.25","","1.05%"
"07/31/2023","4,400.09","4,400.09","4,400.09","4,400.09","","-0.09%"
"07/28/2023","4,403.99","4,403.99","4,403.99","4,403.99","","0.19%"
"07/27/2023","4,395.52","4,395.52","4,395.52","4,395.52","","-0.58%"
"07/26/2023","4,421.34","4,421.34","4,421.34","4,421.34","","-0.35%"
"07/25/2023","4,436.93","4,436.93","4,436.93","4,436.93","","0.34%"
"07/24/2023","4,422.11","4,422.11","4,422.11","4,422.11","","0.14%"
"07/21/2023","4,416.11","4,416.11","4,416.11","4,416.11","","0.42%"
"07/20/2023","4,397.57","4,397.57","4,397.57","4,397.57","","-0.19%"
"07/19/2023","4,406.02","4,406.02","4,406.02","4,406.02","","0.40%"
"07/18/2023","4,388.51","4,388.51","4,388.51","4,388.51","","1.11%"
"07/17/2023","4,340.15","4,340.15","4,340.15","4,340.15","","0.19%"
"07/14/2023","4,332.04","4,332.04","4,332.04","4,332.04","","0.54%"
"07/13/2023","4,308.79","4,308.79","4,308.79","4,308.79","","0.57%"
"07/12/2023","4,284.35","4,284.35","4,284.35","4,284.35","","1.67%"
"07/11/2023","4,214.10","4,214.10","4,214.10","4,214.10","","0.86%"
"07/10/2023","4,178.33","4,178.33","4,178.33","4,178.33","","0.39%"
"07/07/2023","4,162.00","4,162.00","4,162.00","4,162.00","","0.76%"
"07/06/2023","4,130.55","4,130.55","4,130.55","4,130.55","","-1.10%"
"07/05/2023","4,176.58","4,176.58","4,176.58","4,176.58","","-0.45%"
"07/04/2023","4,195.34","4,195.34","4,195.34","4,195.34","","-0.28%"
"07/03/2023","4,207.09","4,207.09","4,207.09","4,207.09","","-0.45%"
"06/30/2023","4,226.21","4,226.21","4,226.21","4,226.21","","-0.11%"
"06/29/2023","4,230.89","4,230.89","4,230.89","4,230.89","","0.33%"
"06/28/2023","4,217.11","4,217.11","4,217.11","4,217.11","","0.44%"
"06/27/2023","4,198.68","4,198.68","4,198.68","4,198.68","","0.08%"
"06/26/2023","4,195.48","4,195.48","4,195.48","4,195.48","","-0.62%"
"06/23/2023","4,221.71","4,221.71","4,221.71","4,221.71","","0.41%"
"06/22/2023","4,204.31","4,204.31","4,204.31","4,204.31","","0.06%"
"06/21/2023","4,201.87","4,201.87","4,201.87","4,201.87","","0.60%"
"06/20/2023","4,176.62","4,176.62","4,176.62","4,176.62","","0.49%"
"06/19/2023","4,156.25","4,156.25","4,156.25","4,156.25","","-1.21%"
"06/16/2023","4,207.05","4,207.05","4,207.05","4,207.05","","-0.44%"
"06/15/2023","4,225.50","4,225.50","4,225.50","4,225.50","","0.88%"
"06/14/2023","4,188.79","4,188.79","4,188.79","4,188.79","","0.37%"
"06/13/2023","4,173.50","4,173.50","4,173.50","4,173.50","","-0.36%"
"06/12/2023","4,188.44","4,188.44","4,188.44","4,188.44","","1.65%"
"06/09/2023","4,120.28","4,120.28","4,120.28","4,120.28","","0.01%"
"06/08/2023","4,120.05","4,120.05","4,120.05","4,120.05","","1.57%"
"06/07/2023","4,056.27","4,056.27","4,056.27","4,056.27","","0.09%"
"06/06/2023","4,052.62","4,052.62","4,052.62","4,052.62","","0.26%"
