"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","2,129.09","2,115.72","2,140.77","2,115.72","9.70M","-0.30%"
"09/21/2023","2,135.60","2,177.59","2,188.35","2,132.36","11.41M","-2.30%"
"09/20/2023","2,185.94","2,161.66","2,201.88","2,149.29","12.73M","2.06%"
"09/19/2023","2,141.79","2,134.43","2,158.61","2,129.99","10.61M","-0.55%"
"09/18/2023","2,153.74","2,164.00","2,176.71","2,136.31","10.03M","-1.69%"
"09/15/2023","2,190.72","2,224.93","2,235.43","2,190.72","22.97M","-1.62%"
"09/14/2023","2,226.84","2,190.30","2,226.84","2,189.74","13.82M","1.87%"
"09/13/2023","2,185.94","2,184.92","2,199.14","2,153.32","13.58M","-0.58%"
"09/12/2023","2,198.63","2,221.02","2,223.81","2,184.69","10.32M","-0.52%"
"09/11/2023","2,210.07","2,204.83","2,226.71","2,194.46","8.63M","0.51%"
"09/08/2023","2,198.90","2,207.67","2,215.38","2,184.66","10.49M","0.19%"
"09/07/2023","2,194.67","2,169.53","2,200.78","2,167.26","10.99M","0.78%"
"09/06/2023","2,177.63","2,179.21","2,182.35","2,160.49","11.49M","-0.05%"
"09/05/2023","2,178.73","2,176.14","2,193.96","2,171.99","12.37M","-0.01%"
"09/04/2023","2,179.05","2,174.40","2,206.07","2,174.40","8.55M","0.39%"
"09/01/2023","2,170.48","2,148.37","2,172.32","2,140.99","9.78M","1.58%"
"08/31/2023","2,136.82","2,161.38","2,163.43","2,136.75","25.54M","-1.06%"
"08/30/2023","2,159.76","2,188.06","2,194.18","2,158.19","15.68M","-1.55%"
"08/29/2023","2,193.69","2,185.67","2,204.10","2,177.22","7.86M","0.39%"
"08/28/2023","2,185.20","2,170.68","2,190.80","2,169.02","4.81M","1.16%"
"08/25/2023","2,160.09","2,163.51","2,169.06","2,155.30","7.15M","-0.74%"
"08/24/2023","2,176.20","2,173.66","2,196.89","2,167.70","10.04M","-0.37%"
"08/23/2023","2,184.27","2,157.84","2,185.18","2,149.32","11.85M","1.65%"
"08/22/2023","2,148.78","2,144.43","2,166.26","2,144.24","7.93M","0.63%"
"08/21/2023","2,135.30","2,141.71","2,162.02","2,134.38","8.34M","0.55%"
"08/18/2023","2,123.69","2,134.62","2,140.27","2,116.95","10.29M","-1.31%"
"08/17/2023","2,151.86","2,146.58","2,164.16","2,141.84","12.21M","-0.26%"
"08/16/2023","2,157.51","2,144.32","2,165.36","2,135.21","9.28M","1.10%"
"08/15/2023","2,133.99","2,132.81","2,158.67","2,126.66","9.38M","-0.04%"
"08/14/2023","2,134.92","2,136.49","2,145.13","2,128.17","7.94M","-0.20%"
"08/11/2023","2,139.22","2,138.22","2,161.45","2,122.93","11.02M","-0.84%"
"08/10/2023","2,157.36","2,163.97","2,171.04","2,126.41","18.89M","-0.73%"
"08/09/2023","2,173.20","2,187.43","2,207.94","2,157.73","11.87M","-0.73%"
"08/08/2023","2,189.22","2,003.94","2,202.78","1,987.72","15.90M","9.35%"
"08/07/2023","2,001.94","1,977.14","2,001.94","1,975.56","7.32M","1.58%"
"08/04/2023","1,970.75","1,981.54","1,988.21","1,967.77","6.52M","-0.85%"
"08/03/2023","1,987.66","1,990.18","1,999.11","1,982.36","6.75M","-0.84%"
"08/02/2023","2,004.42","2,012.41","2,013.33","1,989.48","8.02M","-1.32%"
"08/01/2023","2,031.18","2,029.84","2,031.24","2,017.05","5.81M","0.02%"
"07/31/2023","2,030.75","2,002.68","2,031.85","1,996.94","8.08M","1.98%"
"07/28/2023","1,991.29","1,998.78","2,009.62","1,986.86","8.38M","-1.13%"
"07/27/2023","2,014.11","2,018.56","2,028.33","2,011.38","8.84M","0.46%"
"07/26/2023","2,004.89","2,043.21","2,049.87","1,994.32","8.10M","-1.86%"
"07/25/2023","2,042.82","2,017.86","2,049.92","2,017.86","7.91M","-0.42%"
"07/24/2023","2,051.36","2,068.42","2,069.91","2,047.24","7.27M","-0.62%"
"07/21/2023","2,064.11","2,055.21","2,065.71","2,040.71","10.36M","0.30%"
"07/20/2023","2,057.89","2,018.99","2,058.69","2,016.05","7.20M","1.97%"
"07/19/2023","2,018.18","2,024.94","2,034.52","2,014.24","7.81M","0.07%"
"07/18/2023","2,016.80","2,007.12","2,018.75","2,004.10","5.85M","0.06%"
"07/17/2023","2,015.49","2,004.89","2,021.60","1,999.67","6.02M","0.46%"
"07/14/2023","2,006.23","1,982.37","2,014.68","1,982.09","8.00M","0.81%"
"07/13/2023","1,990.12","1,975.78","2,008.28","1,975.78","7.78M","1.02%"
"07/12/2023","1,970.02","1,948.09","1,974.80","1,932.05","10.20M","0.38%"
"07/11/2023","1,962.58","1,991.43","1,997.44","1,952.77","11.24M","-1.05%"
"07/10/2023","1,983.38","1,992.40","1,995.69","1,969.23","6.07M","-0.75%"
"07/07/2023","1,998.34","2,004.61","2,011.50","1,989.79","6.73M","-0.41%"
"07/06/2023","2,006.60","2,031.52","2,037.48","2,003.63","7.62M","-1.42%"
"07/05/2023","2,035.54","2,021.02","2,035.54","2,019.14","9.16M","0.33%"
"07/04/2023","2,028.82","2,030.99","2,035.17","2,015.67","6.11M","0.20%"
"07/03/2023","2,024.73","2,051.36","2,056.15","2,023.39","9.17M","-0.76%"
"06/30/2023","2,040.33","2,008.95","2,047.83","2,003.69","10.84M","2.12%"
"06/29/2023","1,997.96","1,992.38","2,001.35","1,987.94","8.43M","0.14%"
"06/28/2023","1,995.09","1,976.21","2,007.70","1,970.25","8.91M","1.32%"
"06/27/2023","1,969.13","1,990.82","1,993.60","1,960.63","11.39M","-1.37%"
"06/26/2023","1,996.53","2,019.63","2,022.15","1,995.14","8.23M","-0.75%"
"06/23/2023","2,011.63","1,983.30","2,018.89","1,980.78","10.35M","-0.29%"
"06/22/2023","2,017.48","1,996.77","2,024.08","1,981.82","9.31M","-0.38%"
"06/21/2023","2,025.15","2,027.03","2,047.09","2,024.66","10.30M","-0.36%"
"06/20/2023","2,032.42","2,015.08","2,037.23","2,010.55","7.91M","0.34%"
"06/19/2023","2,025.63","2,045.19","2,045.19","2,025.25","6.74M","-1.56%"
