"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2023","4,291.94","4,275.49","4,293.79","4,261.29","25.10M","0.60%"
"08/03/2023","4,266.43","4,290.71","4,290.94","4,259.60","29.64M","-1.00%"
"08/02/2023","4,309.41","4,340.75","4,340.75","4,282.32","31.98M","-1.53%"
"08/01/2023","4,376.34","4,377.92","4,395.54","4,372.84","25.45M","-0.27%"
"07/31/2023","4,388.24","4,379.84","4,388.71","4,374.03","36.98M","0.07%"
"07/28/2023","4,385.13","4,377.65","4,393.51","4,369.98","28.99M","0.02%"
"07/27/2023","4,384.29","4,445.35","4,446.82","4,383.82","41.29M","-1.20%"
"07/26/2023","4,437.67","4,470.72","4,475.51","4,403.73","29.48M","-0.93%"
"07/25/2023","4,479.52","4,411.86","4,485.60","4,406.16","29.15M","1.53%"
"07/24/2023","4,412.14","4,394.71","4,415.72","4,378.20","28.96M","0.32%"
"07/21/2023","4,397.96","4,386.83","4,421.52","4,376.18","50.51M","-0.17%"
"07/20/2023","4,405.25","4,416.85","4,425.75","4,386.01","41.71M","-0.32%"
"07/19/2023","4,419.30","4,424.54","4,436.23","4,409.18","32.74M","0.20%"
"07/18/2023","4,410.34","4,371.37","4,418.03","4,359.55","33.90M","0.76%"
"07/17/2023","4,377.14","4,383.83","4,406.40","4,365.37","40.97M","-0.61%"
"07/14/2023","4,403.80","4,428.61","4,435.33","4,397.36","70.31M","-1.43%"
"07/13/2023","4,467.76","4,457.87","4,482.27","4,443.12","24.61M","0.59%"
"07/12/2023","4,441.49","4,394.76","4,444.21","4,380.34","30.48M","1.28%"
"07/11/2023","4,385.39","4,376.47","4,388.39","4,350.18","20.96M","0.69%"
"07/10/2023","4,355.55","4,353.93","4,374.01","4,335.88","17.29M","-0.22%"
"07/07/2023","4,364.99","4,357.96","4,370.45","4,337.87","25.84M","0.29%"
"07/06/2023","4,352.27","4,408.42","4,423.38","4,345.26","28.22M","-1.83%"
"07/05/2023","4,433.59","4,445.61","4,450.64","4,416.84","26.30M","-0.63%"
"07/04/2023","4,461.54","4,461.98","4,483.45","4,461.23","18.85M","0.07%"
"07/03/2023","4,458.43","4,429.78","4,476.15","4,426.76","28.26M","0.87%"
"06/30/2023","4,419.87","4,418.96","4,441.65","4,415.06","40.36M","0.43%"
"06/29/2023","4,400.84","4,411.72","4,417.35","4,389.83","26.45M","-0.28%"
"06/28/2023","4,413.25","4,399.47","4,420.26","4,395.46","31.31M","0.71%"
"06/27/2023","4,382.07","4,389.04","4,392.09","4,334.78","27.78M","0.25%"
"06/26/2023","4,371.30","4,359.95","4,372.35","4,315.90","38.47M","-0.01%"
"06/22/2023","4,371.81","4,405.48","4,406.64","4,367.77","34.05M","-1.67%"
"06/21/2023","4,445.99","4,524.91","4,524.91","4,436.54","35.82M","-1.79%"
"06/20/2023","4,526.85","4,592.26","4,593.16","4,526.71","29.66M","-1.76%"
"06/19/2023","4,607.76","4,655.89","4,656.05","4,606.15","27.56M","-1.14%"
"06/16/2023","4,660.76","4,673.92","4,681.17","4,653.55","96.38M","-0.11%"
"06/15/2023","4,665.83","4,674.58","4,676.96","4,626.25","39.78M","-0.36%"
"06/14/2023","4,682.92","4,660.48","4,705.21","4,649.30","42.13M","0.22%"
"06/13/2023","4,672.56","4,660.13","4,680.66","4,656.49","35.78M","0.94%"
"06/12/2023","4,629.24","4,646.19","4,655.11","4,621.12","28.82M","0.03%"
"06/09/2023","4,627.98","4,615.26","4,630.23","4,607.76","27.17M","0.36%"
"06/08/2023","4,611.20","4,622.39","4,626.35","4,604.27","28.28M","-0.16%"
"06/07/2023","4,618.72","4,615.79","4,633.70","4,601.34","29.78M","-0.06%"
"06/06/2023","4,621.70","4,599.13","4,625.56","4,587.18","26.25M","0.48%"
"06/05/2023","4,599.77","4,616.54","4,627.31","4,588.98","26.52M","0.04%"
"06/02/2023","4,597.78","4,517.95","4,599.30","4,515.69","41.57M","2.29%"
"06/01/2023","4,494.75","4,491.53","4,506.40","4,473.55","37.43M","0.71%"
"05/31/2023","4,463.10","4,483.36","4,509.10","4,460.67","147.24M","-1.36%"
"05/30/2023","4,524.59","4,549.79","4,560.12","4,520.21","31.39M","-0.27%"
"05/29/2023","4,536.65","4,567.78","4,573.63","4,533.79","16.25M","-0.12%"
"05/26/2023","4,542.03","4,510.73","4,547.57","4,488.21","30.07M","0.98%"
"05/25/2023","4,497.82","4,575.98","4,575.98","4,497.82","31.95M","-1.21%"
"05/24/2023","4,552.82","4,601.79","4,603.77","4,545.71","36.60M","-1.62%"
"05/23/2023","4,627.94","4,628.49","4,669.47","4,627.69","31.38M","0.01%"
"05/22/2023","4,627.68","4,643.82","4,652.54","4,612.89","27.69M","-0.33%"
"05/19/2023","4,642.80","4,654.63","4,663.48","4,633.84","41.65M","0.24%"
"05/17/2023","4,631.66","4,633.98","4,652.58","4,630.19","28.92M","-0.33%"
"05/16/2023","4,647.04","4,688.44","4,691.53","4,641.92","42.24M","-1.26%"
"05/15/2023","4,706.42","4,700.87","4,708.06","4,683.26","27.35M","0.25%"
"05/12/2023","4,694.59","4,705.13","4,719.53","4,677.73","33.69M","-0.38%"
"05/11/2023","4,712.62","4,733.07","4,757.38","4,699.02","33.26M","-0.17%"
"05/10/2023","4,720.51","4,731.37","4,750.34","4,702.86","35.31M","0.02%"
"05/09/2023","4,719.53","4,781.24","4,782.00","4,710.63","38.29M","-1.31%"
"05/08/2023","4,782.35","4,764.91","4,796.06","4,756.65","22.48M","0.36%"
"05/05/2023","4,765.06","4,721.95","4,765.06","4,711.90","29.74M","1.23%"
"05/04/2023","4,707.08","4,732.16","4,742.51","4,686.74","35.04M","-0.58%"
"05/03/2023","4,734.59","4,716.31","4,747.12","4,715.87","35.94M","0.62%"
"05/02/2023","4,705.52","4,759.42","4,778.49","4,705.02","44.32M","-0.94%"
"04/28/2023","4,749.99","4,775.39","4,786.97","4,745.85","47.60M","-0.11%"
"04/27/2023","4,755.08","4,754.32","4,769.48","4,738.70","40.94M","-0.02%"
"04/26/2023","4,755.95","4,699.85","4,762.45","4,667.69","50.70M","0.75%"
"04/25/2023","4,720.34","4,694.98","4,732.37","4,689.50","44.31M","-0.21%"
"04/24/2023","4,730.33","4,717.87","4,738.30","4,710.04","34.38M","0.17%"
"04/21/2023","4,722.46","4,755.12","4,755.36","4,711.80","51.41M","-0.62%"
"04/20/2023","4,751.69","4,738.35","4,771.54","4,733.54","88.68M","-0.69%"
"04/19/2023","4,784.90","4,794.89","4,794.89","4,775.08","37.39M","-0.49%"
"04/18/2023","4,808.46","4,819.08","4,828.07","4,798.79","36.47M","-0.20%"
"04/17/2023","4,818.25","4,834.22","4,849.17","4,808.82","32.04M","-0.07%"
"04/14/2023","4,821.48","4,806.10","4,829.68","4,797.03","37.10M","0.64%"
"04/13/2023","4,790.80","4,783.88","4,798.55","4,768.46","33.25M","0.10%"
"04/12/2023","4,786.04","4,807.70","4,822.04","4,776.68","35.42M","-0.63%"
"04/11/2023","4,816.34","4,789.58","4,817.11","4,773.77","36.59M","1.17%"
"04/06/2023","4,760.67","4,738.38","4,765.84","4,738.34","27.60M","0.34%"
"04/05/2023","4,744.48","4,786.37","4,791.70","4,729.73","29.29M","-0.77%"
"04/04/2023","4,781.26","4,777.23","4,828.94","4,776.45","28.23M","0.37%"
"04/03/2023","4,763.85","4,799.12","4,803.89","4,756.87","26.66M","-0.29%"
"03/31/2023","4,777.66","4,753.27","4,783.49","4,728.54","34.20M","0.59%"
"03/30/2023","4,749.53","4,695.52","4,757.64","4,693.89","35.71M","1.56%"
"03/29/2023","4,676.45","4,655.62","4,685.14","4,636.10","35.70M","0.81%"
"03/28/2023","4,638.92","4,677.03","4,688.07","4,615.98","32.35M","-0.12%"
"03/27/2023","4,644.37","4,665.26","4,689.89","4,640.62","36.71M","0.71%"
"03/24/2023","4,611.70","4,651.28","4,659.78","4,577.84","54.02M","-2.16%"
"03/23/2023","4,713.34","4,712.73","4,717.49","4,659.34","38.69M","-0.48%"
"03/22/2023","4,735.85","4,769.78","4,769.87","4,721.82","34.88M","-0.62%"
"03/21/2023","4,765.37","4,712.54","4,789.00","4,710.15","42.78M","2.06%"
"03/20/2023","4,669.08","4,586.46","4,696.16","4,525.67","60.15M","1.08%"
"03/17/2023","4,619.27","4,704.09","4,756.94","4,588.85","129.66M","-1.56%"
"03/16/2023","4,692.30","4,727.17","4,742.96","4,611.69","56.39M","0.54%"
"03/15/2023","4,667.23","4,826.77","4,829.51","4,667.23","66.84M","-3.27%"
"03/14/2023","4,824.99","4,772.15","4,852.87","4,762.95","46.81M","1.13%"
"03/13/2023","4,771.25","4,867.14","4,868.79","4,712.17","61.31M","-2.16%"
"03/10/2023","4,876.80","4,886.64","4,903.30","4,852.63","45.29M","-1.66%"
"03/09/2023","4,958.88","4,996.52","5,000.88","4,937.96","26.78M","-0.84%"
"03/08/2023","5,001.01","4,984.42","5,009.16","4,976.47","30.36M","-0.05%"
"03/07/2023","5,003.57","5,046.08","5,066.01","5,003.14","34.26M","-0.80%"
"03/06/2023","5,043.67","5,070.68","5,074.71","5,025.21","30.28M","-0.48%"
"03/03/2023","5,067.93","5,026.88","5,071.20","5,026.88","39.14M","1.24%"
