"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","1,198.57","1,202.82","1,202.82","1,191.53","227.35M","-0.35%"
"09/21/2023","1,202.72","1,213.68","1,213.68","1,196.18","61.30M","-0.93%"
"09/20/2023","1,214.03","1,210.06","1,216.15","1,205.04","69.18M","0.35%"
"09/19/2023","1,209.78","1,211.99","1,214.55","1,207.82","78.18M","-0.14%"
"09/18/2023","1,211.47","1,211.66","1,213.47","1,205.18","133.34M","0.00%"
"09/15/2023","1,211.44","1,206.94","1,217.66","1,206.94","106.58M","0.38%"
"09/14/2023","1,206.87","1,186.70","1,208.64","1,186.23","49.39M","1.80%"
"09/13/2023","1,185.53","1,186.18","1,191.65","1,184.95","40.95M","-0.06%"
"09/12/2023","1,186.29","1,184.01","1,188.90","1,182.61","48.01M","0.20%"
"09/11/2023","1,183.93","1,175.82","1,185.40","1,175.60","38.01M","0.73%"
"09/08/2023","1,175.31","1,172.02","1,178.14","1,171.59","39.06M","0.30%"
"09/07/2023","1,171.85","1,180.79","1,181.05","1,171.13","51.67M","-0.77%"
"09/06/2023","1,180.98","1,181.85","1,186.44","1,177.49","48.93M","-0.09%"
"09/05/2023","1,181.99","1,175.37","1,188.54","1,170.62","44.57M","0.51%"
"09/04/2023","1,175.95","1,173.32","1,181.99","1,173.24","45.83M","0.23%"
"09/01/2023","1,173.29","1,163.12","1,176.31","1,162.39","44.68M","0.96%"
"08/31/2023","1,162.18","1,159.62","1,164.82","1,157.52","57.08M","0.28%"
"08/30/2023","1,158.89","1,154.19","1,161.44","1,154.08","38.80M","0.42%"
"08/29/2023","1,154.06","1,153.55","1,156.82","1,152.60","42.67M","0.05%"
"08/28/2023","1,153.47","1,138.67","1,153.47","1,138.66","43.92M","1.32%"
"08/25/2023","1,138.47","1,135.51","1,143.81","1,134.56","36.03M","0.23%"
"08/24/2023","1,135.86","1,134.32","1,142.46","1,132.14","41.66M","0.16%"
"08/23/2023","1,134.06","1,142.51","1,145.38","1,130.23","55.28M","-0.74%"
"08/22/2023","1,142.51","1,145.07","1,147.30","1,139.49","44.71M","-0.20%"
"08/21/2023","1,144.78","1,141.76","1,154.61","1,141.67","47.37M","0.25%"
"08/18/2023","1,141.87","1,157.18","1,157.18","1,135.84","61.15M","-1.38%"
"08/17/2023","1,157.79","1,157.28","1,158.66","1,151.75","53.56M","0.03%"
"08/16/2023","1,157.43","1,152.79","1,157.99","1,149.00","49.83M","0.40%"
