"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","1,949.25","1,948.17","1,959.09","1,936.82","15.56M","-0.02%"
"09/21/2023","1,949.56","1,962.98","1,962.98","1,935.97","12.92M","-1.32%"
"09/20/2023","1,975.57","1,932.86","1,979.22","1,932.86","18.24M","2.32%"
"09/19/2023","1,930.86","1,951.24","1,954.49","1,924.07","16.08M","-0.67%"
"09/18/2023","1,943.94","1,974.14","1,981.45","1,941.76","13.78M","-1.58%"
"09/15/2023","1,975.05","1,973.88","1,989.19","1,971.31","42.83M","0.37%"
"09/14/2023","1,967.77","1,954.66","1,967.77","1,948.35","18.69M","0.93%"
"09/13/2023","1,949.65","1,948.28","1,956.91","1,937.35","20.19M","0.00%"
"09/12/2023","1,949.57","1,944.98","1,953.48","1,934.03","19.75M","0.40%"
"09/11/2023","1,941.79","1,951.85","1,965.45","1,935.43","13.45M","-0.11%"
"09/08/2023","1,943.99","1,934.89","1,946.46","1,924.02","13.36M","0.86%"
"09/07/2023","1,927.39","1,954.96","1,963.05","1,909.86","20.12M","-1.57%"
"09/06/2023","1,958.07","1,993.44","2,000.36","1,942.27","25.92M","-2.40%"
"09/05/2023","2,006.27","2,022.55","2,044.26","2,004.34","13.74M","-0.95%"
"09/04/2023","2,025.59","2,050.13","2,062.39","2,023.74","14.49M","-1.24%"
"09/01/2023","2,050.94","2,024.89","2,055.37","2,022.35","14.56M","1.16%"
"08/31/2023","2,027.38","2,049.89","2,054.96","2,026.67","27.83M","-1.10%"
"08/30/2023","2,049.96","2,043.03","2,055.06","2,035.91","8.29M","0.39%"
"08/29/2023","2,042.08","2,041.90","2,050.43","2,029.79","12.64M","0.14%"
"08/28/2023","2,039.32","2,010.60","2,041.73","2,001.87","11.52M","1.94%"
"08/25/2023","2,000.42","1,997.35","2,015.39","1,986.05","10.62M","-0.46%"
"08/24/2023","2,009.58","2,015.70","2,036.45","2,007.30","10.17M","-0.14%"
"08/23/2023","2,012.34","2,011.24","2,018.61","1,989.00","13.16M","0.14%"
"08/22/2023","2,009.59","2,020.25","2,031.10","2,005.48","11.82M","-0.28%"
"08/21/2023","2,015.21","2,011.29","2,024.31","2,002.05","10.66M","0.03%"
"08/18/2023","2,014.55","2,014.48","2,017.46","1,997.11","13.13M","-0.33%"
"08/17/2023","2,021.15","2,043.10","2,053.25","2,009.19","13.02M","-1.13%"
"08/16/2023","2,044.35","2,075.72","2,075.87","2,039.46","18.51M","-2.04%"
"08/14/2023","2,087.01","2,098.01","2,104.81","2,082.18","9.38M","-0.87%"
"08/11/2023","2,105.31","2,124.08","2,124.08","2,098.84","13.28M","-1.19%"
"08/10/2023","2,130.58","2,097.72","2,143.51","2,097.72","16.70M","1.63%"
"08/09/2023","2,096.43","2,099.14","2,118.52","2,089.72","17.77M","-0.80%"
"08/08/2023","2,113.37","2,148.86","2,148.86","2,106.44","15.75M","-1.80%"
"08/07/2023","2,152.17","2,167.78","2,168.37","2,145.93","9.92M","-0.81%"
"08/04/2023","2,169.73","2,152.32","2,173.40","2,152.32","10.05M","1.30%"
"08/03/2023","2,141.81","2,139.83","2,145.01","2,120.93","13.00M","-0.05%"
"08/02/2023","2,142.82","2,177.36","2,177.36","2,142.82","14.76M","-2.10%"
"08/01/2023","2,188.77","2,193.35","2,193.77","2,174.65","13.75M","-0.22%"
"07/31/2023","2,193.56","2,190.28","2,202.30","2,186.26","17.45M","0.20%"
"07/28/2023","2,189.24","2,183.55","2,193.03","2,172.64","11.51M","-0.02%"
"07/27/2023","2,189.58","2,167.03","2,195.76","2,167.03","13.93M","1.19%"
"07/26/2023","2,163.91","2,182.49","2,185.84","2,155.24","9.28M","-0.82%"
"07/25/2023","2,181.76","2,177.79","2,187.81","2,166.52","10.73M","0.37%"
"07/24/2023","2,173.80","2,153.33","2,178.67","2,153.33","12.68M","0.85%"
"07/21/2023","2,155.56","2,160.50","2,163.36","2,144.80","12.74M","-0.16%"
"07/20/2023","2,159.05","2,166.96","2,177.81","2,154.15","12.59M","-0.57%"
"07/19/2023","2,171.53","2,166.04","2,181.78","2,160.76","14.67M","0.48%"
