,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozona,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
2008-01-02,,,,,41.609085,51.5,79.461098,,39.004185,,,,,38.689999,,27.674786,39.202938,42.089199,,,,36.815617,,,,24.219999,14.65,41.0,67.333702,,,,,,,,,,48.159,,,,12.616283,,,,,,,43.950001
2008-01-03,,,,,41.143227,50.650002,79.0541,,38.918621,,,,,38.740002,,27.684008,39.090618,41.657398,,,,36.465305,,,,23.67,14.97,39.950001,67.630997,,,,,,,,,,47.038101,,,,12.658619,,,,,,,43.650002
2008-01-04,,,,,41.106262,50.09,78.056702,,38.301079,,,,,38.136002,,27.084587,39.116543,40.763599,,,,35.59359,,,,23.181,14.97,39.990002,64.846199,,,,,,,,,,46.079102,,,,12.463871,,,,,,,43.66
2008-01-07,,,,,40.374191,49.349998,78.141296,,38.383869,,,,,37.667,,26.494387,38.909153,40.137798,,,,35.373642,,,,22.98,14.95,39.77,63.941101,,,,,,,,,,46.027199,,,,12.430002,,,,,,,43.52
2008-01-08,,,,,40.418556,49.970001,78.469101,,38.065323,,,,,37.813999,,26.641937,38.935085,41.083401,,,,35.715801,,,,23.09,15.25,39.900002,66.524498,,,,,,,,,,47.069302,,,,12.446937,,,,,,,43.669998
2008-01-09,,,,,40.736526,50.52,77.796402,,37.597366,,,,,37.588001,,26.217733,38.935085,39.984299,,,,34.966286,,,,23.450001,15.4,40.209999,66.305298,,,,,,,,,,46.4916,,,,12.582413,,,,,,,43.68
2008-01-10,,,,,40.285458,50.610001,77.100197,,37.017765,,,,,37.648998,,25.682865,38.658581,38.6437,,,,33.988663,,,,23.200001,15.5,39.720001,67.079102,,,,,,,,,,46.433701,,,,12.421535,,,,,,,43.740002
2008-01-11,,,,,40.034042,50.459999,77.148201,,36.873486,,,,,37.493,,25.636755,38.537605,37.596699,,,,33.630199,,,,23.01,15.02,39.720001,65.837097,,,,,,,,,,46.188301,,,,12.201385,,,,,,,43.77
2008-01-14,,,,,39.819599,50.209999,77.288597,,37.061771,,,,,37.518002,,25.959518,38.287025,37.892799,,,,33.825733,,,,23.219999,15.34,38.380001,66.942398,,,,,,,,,,45.918098,,,,11.9643,,,,,,,42.990002
2008-01-15,,,,,40.056225,49.830002,75.632401,,35.977329,,,,,37.609001,,25.194107,38.209267,36.6045,,,,32.766647,,,,24.09,15.39,37.860001,63.660599,,,,,,,,,,44.7103,,,,11.938898,,,,,,,43.98
