,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozona,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
2008-01-02,,,,,40.466122,51.5,79.461098,,38.880512,,,,,38.689999,,,38.598621,42.089199,,,,36.815624,,,,24.219999,14.65,41.0,67.333702,,,,,,,,,,48.159,,,,12.338555,,,,,,,43.950001
2008-01-03,,,,,40.013065,50.650002,79.0541,,38.795212,,,,,38.740002,,,38.488022,41.657398,,,,36.465317,,,,23.67,14.97,39.950001,67.630997,,,,,,,,,,47.038101,,,,12.379959,,,,,,,43.650002
2008-01-04,,,,,39.977108,50.09,78.056702,,38.179638,,,,,38.136002,,,38.513542,40.763599,,,,35.593594,,,,23.181,14.97,39.990002,64.846199,,,,,,,,,,46.079102,,,,12.189498,,,,,,,43.66
2008-01-07,,,,,39.26516,49.349998,78.141296,,38.262177,,,,,37.667,,,38.309364,40.137798,,,,35.373627,,,,22.98,14.95,39.77,63.941101,,,,,,,,,,46.027199,,,,12.156375,,,,,,,43.52
2008-01-08,,,,,39.3083,49.970001,78.469101,,37.94463,,,,,37.813999,,,38.334885,41.083401,,,,35.715797,,,,23.09,15.25,39.900002,66.524498,,,,,,,,,,47.069302,,,,12.172936,,,,,,,43.669998
2008-01-09,,,,,39.617538,50.52,77.796402,,37.478146,,,,,37.588001,,,38.334885,39.984299,,,,34.966282,,,,23.450001,15.4,40.209999,66.305298,,,,,,,,,,46.4916,,,,12.305429,,,,,,,43.68
2008-01-10,,,,,39.178864,50.610001,77.100197,,36.900391,,,,,37.648998,,,38.062649,38.6437,,,,33.988667,,,,23.200001,15.5,39.720001,67.079102,,,,,,,,,,46.433701,,,,12.148093,,,,,,,43.740002
2008-01-11,,,,,38.934353,50.459999,77.148201,,36.756561,,,,,37.493,,,37.943542,37.596699,,,,33.630207,,,,23.01,15.02,39.720001,65.837097,,,,,,,,,,46.188301,,,,11.93279,,,,,,,43.77
2008-01-14,,,,,38.725796,50.209999,77.288597,,36.94426,,,,,37.518002,,,37.696831,37.892799,,,,33.825729,,,,23.219999,15.34,38.380001,66.942398,,,,,,,,,,45.918098,,,,11.700924,,,,,,,42.990002
2008-01-15,,,,,38.955925,49.830002,75.632401,,35.863258,,,,,37.609001,,,37.620255,36.6045,,,,32.766644,,,,24.09,15.39,37.860001,63.660599,,,,,,,,,,44.7103,,,,11.676082,,,,,,,43.98
