,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozona,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-04,78.573044,28.450502,16.065809,5.851788,11.390849,11.481215,12.743692,3.44838,14.495268,,7.729683,13.378749,4.621361,21.464811,5.098614,,9.376999,,,,,5.876225,,,,,,,,,,6.279459,,,4.772195,,,,,,,,,,,,,,,
1999-01-05,79.471176,28.275965,16.212757,5.942747,11.452587,11.644067,12.609548,3.44838,14.699436,,7.873269,13.715812,4.621361,21.740597,5.046586,,9.455797,,,,,5.948326,,,,,,,,,,6.317981,,,4.945729,,,,,,,,,,,,,,,
1999-01-06,81.387085,28.625051,16.898493,6.276267,11.699545,11.888353,13.61563,3.56034,14.971642,,7.968994,13.975089,4.841427,22.246189,5.306722,,9.403265,,,,,5.948326,,,,,,,,,,6.202408,,,5.292799,,,,,,,,,,,,,,,
1999-01-07,80.9879,28.799595,16.604603,6.185307,11.606937,11.806922,12.67662,3.627517,14.529294,,8.040786,13.456529,4.904303,21.556744,5.410774,,9.114335,,,,,5.984377,,,,,,,,,,6.12536,,,5.20603,,,,,,,,,,,,,,,
1999-01-08,81.58667,28.799595,16.506638,6.276267,11.421719,11.806922,12.710157,3.627517,14.359165,,7.945064,13.223181,4.998618,21.418854,5.514826,,8.93047,,,,,5.840175,,,,,,,,,,5.93274,,,5.726635,,,,,,,,,,,,,,,
1999-01-11,80.808311,28.450502,16.163771,6.215629,11.20563,11.399788,12.274184,3.56034,13.780716,,7.777548,12.782412,4.841427,20.591513,5.462802,,8.904207,,,,,5.732025,,,,,,,,,,5.778641,,,5.639869,,,,,,,,,,,,,,,
1999-01-12,79.351395,27.752333,16.016832,6.124668,10.98955,11.277645,11.972364,3.605125,13.610583,,7.705754,12.523129,4.872865,19.948029,5.358748,,8.772875,,,,,5.623874,,,,,,,,,,5.470447,,,5.292799,,,,,,,,,,,,,,,
1999-01-13,78.792603,27.577785,15.869888,5.942747,10.680853,11.236933,11.938829,3.493163,13.100187,,7.466445,12.082356,4.589925,19.212614,5.098614,,8.799143,,,,,5.551771,,,,,,,,,,5.046681,,,5.032497,,,,,,,,,,,,,,,
1999-01-14,77.415535,27.752333,15.673957,5.821465,10.680853,11.155508,11.771145,3.470771,13.100187,,7.418582,11.719368,4.52705,18.93684,4.99456,,8.904207,,,,,5.623874,,,,,,,,,,5.123729,,,5.119263,,,,,,,,,,,,,,,
1999-01-15,79.431259,28.450502,16.310715,6.033707,10.927809,11.318362,12.072972,3.56034,13.474482,,7.490372,12.367563,4.872865,19.810144,5.462802,,8.799143,,,,,5.551771,,,,,,,,,,5.817165,,,5.379565,,,,,,,,,,,,,,,
1999-01-19,79.950134,28.101414,16.359697,6.003388,11.143894,11.196221,12.072972,3.627517,13.950846,,7.777548,12.600909,4.778551,19.718214,5.514826,,8.93047,,,,,5.263367,,,,,,,,,,5.701594,,,5.466333,,,,,,,,,,,,,,,
1999-01-20,80.588768,28.799595,16.408678,6.033707,11.113024,11.236933,12.274184,3.627517,13.746686,,7.849341,12.704622,4.747115,19.626286,5.514826,,8.956741,,,,,5.37152,,,,,,,,,,5.93274,,,5.379565,,,,,,,,,,,,,,,
1999-01-21,78.453339,28.97414,16.26174,6.033707,10.927809,11.155508,12.17358,3.58273,13.678636,,7.61003,12.600909,4.52705,18.844912,5.254692,,8.877939,,,,,5.263367,,,,,,,,,,5.778641,,,5.379565,,,,,,,,,,,,,,,
1999-01-22,78.273705,28.450502,15.869888,5.912425,10.742589,11.074078,11.871755,3.56034,13.270321,,7.586099,12.315705,4.495611,18.569134,5.254692,,8.641545,,,,,5.119166,,,,,,,,,,5.85569,,,5.466333,,,,,,,,,,,,,,,
1999-01-25,79.071999,28.799595,16.163771,6.003388,10.866067,11.074078,11.838217,3.537948,13.134213,,7.586099,12.289777,4.338422,18.93684,4.99456,,8.589016,,,,,5.191269,,,,,,,,,,5.85569,,,5.379565,,,,,,,,,,,,,,,
1999-01-26,80.508957,29.497768,16.163771,6.124668,10.927809,11.033368,11.871755,3.515555,13.202265,,7.61003,12.289777,4.432737,19.028763,4.99456,,8.667811,,,,,5.335469,,,,,,,,,,5.817165,,,5.379565,,,,,,,,,,,,,,,
1999-01-27,79.57093,28.97414,15.771927,6.003388,10.804326,10.870514,11.938829,3.515555,13.202265,,7.61003,11.978648,4.401298,18.752985,5.046586,,8.536482,,,,,5.263367,,,,,,,,,,6.009787,,,5.292799,,,,,,,,,,,,,,,
1999-01-28,80.908104,28.97414,15.820906,6.033707,11.174765,10.829799,12.072972,3.58273,13.202265,,7.753616,12.186069,4.401298,19.074732,4.99456,,8.641545,,,,,5.37152,,,,,,,,,,6.163885,,,5.379565,,,,,,,,,,,,,,,
1999-01-29,81.526779,29.323227,16.114796,6.094349,11.174765,10.951941,12.140041,3.58273,13.168241,,7.777548,12.39349,4.36986,19.120689,4.99456,,8.61528,,,,,5.407571,,,,,,,,,,6.163885,,,5.379565,,,,,,,,,,,,,,,
1999-02-01,81.047829,29.148676,16.114796,6.064025,11.113024,10.870514,12.072972,3.649908,13.100187,,7.825407,12.289777,4.401298,19.074732,4.83848,,8.510215,,,,,5.407571,,,,,,,,,,6.317981,,,5.292799,,,,,,,,,,,,,,,
1999-02-02,80.548882,29.497768,16.163771,5.973068,11.020415,10.992652,11.972364,3.627517,13.032133,,7.849341,12.315705,4.306985,18.844912,4.682402,,8.667811,,,,,5.299419,,,,,,,,,,6.240933,,,5.20603,,,,,,,,,,,,,,,
1999-02-03,81.367134,29.323227,15.918872,6.003388,10.896939,11.114795,11.838217,3.627517,12.998105,,7.753616,12.419413,4.306985,18.615091,4.630374,,8.694077,,,,,5.263367,,,,,,,,,,6.356506,,,5.119263,,,,,,,,,,,,,,,
1999-02-04,80.14975,29.148676,15.918872,6.064025,10.773457,10.992652,11.804684,3.649908,12.896029,,7.897203,12.108284,4.244109,18.798948,4.630374,,8.694077,,,,,5.407571,,,,,,,,,,6.317981,,,5.20603,,,,,,,,,,,,,,,
1999-02-05,79.231682,28.625051,15.527019,6.003388,10.835199,10.789086,11.637001,3.627517,13.066163,,7.849341,12.082356,4.118358,18.477209,4.578347,,8.61528,,,,,5.335469,,,,,,,,,,6.202408,,,5.119263,,,,,,,,,,,,,,,
1999-02-08,79.391312,28.625051,15.575998,6.003388,10.866067,10.911225,11.603466,3.649908,13.168241,,7.849341,11.978648,4.149796,18.431244,4.630374,,8.667811,,,,,5.299419,,,,,,,,,,6.356506,,,4.772195,,,,,,,,,,,,,,,
1999-02-09,77.615112,28.275965,15.331096,5.882107,10.403024,10.707658,11.033356,3.605125,12.759921,,7.586099,11.797149,4.118358,17.557941,4.422266,,8.405152,,,,,5.37152,,,,,,,,,,6.279459,,,4.858962,,,,,,,,,,,,,,,
1999-02-10,78.114021,28.275965,15.23314,5.882107,10.403024,10.422664,11.201035,3.515555,12.793945,,7.466445,11.849007,4.118358,17.925648,4.422266,,8.378884,,,,,5.335469,,,,,,,,,,6.317981,,,4.858962,,,,,,,,,,,,,,,
1999-02-11,79.91021,28.275965,15.673957,6.003388,10.619113,10.666947,11.402251,3.627517,12.725892,,7.514306,12.030501,4.212669,18.569134,4.630374,,8.431415,,,,,5.335469,,,,,,,,,,6.741747,,,5.292799,,,,,,,,,,,,,,,
1999-02-12,78.952271,28.625051,15.869888,5.851788,10.464767,10.707658,11.201035,3.56034,12.759921,,7.490372,11.849007,4.212669,18.201424,4.52632,,8.326354,,,,,5.263367,,,,,,,,,,6.626177,,,5.20603,,,,,,,,,,,,,,,
1999-02-16,78.473312,28.450502,16.163771,5.912425,10.433895,10.585519,11.133961,3.537948,12.725892,,7.657893,11.823081,4.212669,18.247391,4.52632,,8.352618,,,,,5.515721,,,,,,,,,,6.664701,,,5.20603,,,,,,,,,,,,,,,
1999-02-17,78.393463,27.752333,16.163771,5.882107,10.248677,10.585519,10.832137,3.515555,12.759921,,7.53824,11.823081,4.212669,17.925648,4.630374,,8.352618,,,,,5.587823,,,,,,,,,,6.626177,,,5.119263,,,,,,,,,,,,,,,
1999-02-18,79.012146,27.752333,16.212757,5.912425,10.372157,10.666947,11.133961,3.605125,12.623816,,7.633959,11.849007,4.181233,18.385279,4.52632,,8.352618,,,,,5.587823,,,,,,,,,,6.664701,,,5.032497,,,,,,,,,,,,,,,
1999-02-19,79.351395,27.403242,16.114796,5.882107,10.619113,10.381951,10.999819,3.627517,12.589789,,7.681825,11.926792,4.055483,18.707024,4.630374,,8.30009,,,,,5.587823,,,,,,,,,,6.818798,,,5.032497,,,,,,,,,,,,,,,
