,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozona,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-04,1.1827,132.35,0.713,1.806,1,1.6157,1,1.9026,1,7.4508,9.475,1,9.161,1,1.958,1,1,8.8541,4.8871,1,2.1942,1,1,1,9.7903,38.105,50.314,1403.03,1.4279,4.4361,6.9339,11.6394,42.786,9521.1,4.4943,,4.3061,0.3562,0.0,45.536,4.0686,,,3.7428,251.41,35.1205,4.0317,1819.5,,25.382
1999-01-05,1.1764,131.08,0.7111,1.7794,1,1.613,1,1.8914,1,7.4392,9.375,1,9.1143,1,1.9662,1,1,8.7325,4.8193,1,2.1886,1,1,1,9.7375,37.875,50.0305,1370.04,1.4211,4.4119,6.7848,11.5224,42.442,9294.4,4.4707,,4.2828,0.3544,0.0,44.59,4.0177,,,3.7355,250.605,34.905,4.0119,1792.5,,26.765
1999-01-06,1.1618,131.19,0.702,1.7554,1,1.6178,1,1.8472,1,7.4472,9.2722,1,9.0012,1,1.9526,1,1,8.6571,4.7234,1,2.1592,1,1,1,9.6166,37.392,49.3745,1344.72,1.4045,4.3572,6.6045,11.4258,42.346,9235.9,4.4146,,4.2294,0.3505,0.0,44.379,3.9767,,,3.6967,249.7,34.784,3.9601,1777.5,,27.011
1999-01-07,1.1709,130.13,0.7095,1.7725,1,1.6138,1,1.8432,1,7.449,9.2275,1,9.0714,1,1.9553,1,1,8.6118,4.7689,1,2.1616,1,1,1,9.6923,37.666,49.7315,1345.89,1.417,4.3914,6.759,11.5095,42.525,9308.3,4.4492,,4.2628,0.3531,0.0,44.668,4.0453,,,3.735,250.43,34.921,3.9911,1803.0,,27.164
1999-01-08,1.1575,128.51,0.7048,1.7509,1,1.6141,1,1.8233,1,7.4443,9.1449,1,8.9688,1,1.9388,1,1,8.5566,4.7237,1,2.1382,1,1,1,9.5795,37.216,49.194,1357.17,1.4007,4.3412,6.7572,11.4014,42.098,9231.1,4.3985,,4.2139,0.3491,0.0,43.985,4.0223,,,3.6942,249.54,35.0385,3.9456,1772.0,,26.999
1999-01-11,1.1502,124.88,0.7058,1.7314,1,1.611,1,1.7988,1,7.4433,9.0508,1,8.9122,1,1.9226,1,1,8.5639,4.6685,1,2.1038,1,1,1,9.5217,36.977,48.886,1348.67,1.3926,4.3132,6.8698,11.4392,41.697,9144.5,4.601,,4.1876,0.3474,0.0,43.134,4.0472,,,3.6762,249.06,35.2415,3.9209,1768.0,,27.146
1999-01-12,1.1572,130.06,0.7094,1.7518,1,1.6048,1,1.8157,1,7.4491,9.0069,1,8.9688,1,1.9454,1,1,8.5718,4.6847,1,2.1255,1,1,1,9.5786,37.262,49.1625,1360.01,1.4015,4.3403,7.0026,11.804,42.16,9317.5,4.3983,,4.213,0.3498,0.0,43.809,4.0771,,,3.7032,249.56,35.453,3.9469,1800.5,,26.911
1999-01-13,1.1673,132.03,0.7083,1.7782,1,1.5901,1,1.85,1,7.4433,9.0752,1,9.0428,1,1.9669,1,1,8.7294,4.7842,1,2.165,1,1,1,9.6604,37.608,49.587,1369.83,1.5292,4.378,7.1789,12.3034,43.19,10038.8,4.4358,,4.2496,0.3523,0.0,45.875,4.179,,,3.8112,254.615,35.829,3.9805,1855.0,,26.439
1999-01-14,1.1698,133.08,0.7065,1.7953,1,1.5892,1,1.8566,1,7.4438,9.1388,1,9.0653,1,1.9661,1,1,8.7299,4.7841,1,2.1716,1,1,1,9.6823,37.739,49.7115,1387.56,1.5438,4.3904,7.3914,12.5924,43.464,10295.6,4.4458,,4.2588,0.3529,0.0,45.043,4.165,,,3.8631,253.055,35.805,3.9895,1857.5,,26.382
1999-01-15,1.1557,131.76,0.7003,1.7633,1,1.5994,1,1.825,1,7.4375,9.1245,1,8.9546,1,1.9404,1,1,8.6695,4.7343,1,2.1395,1,1,1,9.5664,37.235,49.0575,1367.71,1.6412,4.3393,6.8822,11.8002,42.123,9794.2,4.3914,,4.2075,0.3488,0.0,44.377,4.1113,,,3.762,252.73,35.5975,3.9408,1840.5,,26.493
1999-01-18,1.1618,132.78,0.703,1.774,1,1.602,1,1.8332,1,7.4424,9.1069,1,9.0018,1,1.9541,1,1,8.6489,4.7047,1,2.162,1,1,1,9.6158,37.484,49.3745,1372.32,1.8356,4.3603,6.9821,11.8673,42.259,9874.9,4.4153,,4.2294,0.3514,0.0,44.437,4.0696,,,3.7571,250.45,35.536,3.9616,1851.5,,27.301
1999-01-19,1.1608,131.72,0.7005,1.7755,1,1.5976,1,1.8179,1,7.4385,9.0256,1,8.9958,1,1.9516,1,1,8.6395,4.7079,1,2.1623,1,1,1,9.6083,37.493,49.3135,1364.52,1.7935,4.3552,7.004,11.8233,42.342,9810.5,4.406,,4.2262,0.3509,0.0,44.525,4.0972,,,3.7733,250.31,35.6985,3.959,1851.5,,26.993
