"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","1,345.55","1,346.94","1,349.77","1,339.92","","-0.13%"
"09/21/2023","1,347.35","1,349.81","1,350.82","1,339.48","","-0.18%"
"09/20/2023","1,349.81","1,345.53","1,354.22","1,344.28","","0.32%"
"09/19/2023","1,345.53","1,352.09","1,352.58","1,344.19","","-0.45%"
"09/18/2023","1,351.68","1,354.01","1,356.66","1,348.92","","-0.17%"
"09/15/2023","1,353.96","1,356.27","1,359.31","1,349.55","","-0.17%"
"09/14/2023","1,356.22","1,338.72","1,359.70","1,338.72","","1.31%"
"09/13/2023","1,338.71","1,334.28","1,343.52","1,327.34","","0.33%"
"09/12/2023","1,334.28","1,329.93","1,337.56","1,323.83","","0.33%"
"09/11/2023","1,329.93","1,321.69","1,330.07","1,316.94","","0.62%"
"09/08/2023","1,321.69","1,338.53","1,341.50","1,317.24","","-1.16%"
"09/07/2023","1,337.14","1,339.28","1,345.17","1,335.14","","-0.16%"
"09/06/2023","1,339.28","1,337.04","1,346.44","1,337.04","","0.17%"
"09/05/2023","1,337.04","1,336.28","1,338.56","1,331.22","","0.05%"
"09/04/2023","1,336.39","1,340.84","1,347.08","1,336.39","","-0.32%"
"09/01/2023","1,340.71","1,340.79","1,347.87","1,340.25","","-0.01%"
"08/31/2023","1,340.79","1,359.85","1,360.74","1,340.79","","-1.40%"
"08/30/2023","1,359.85","1,352.77","1,360.54","1,352.77","","0.60%"
"08/29/2023","1,351.70","1,350.77","1,357.71","1,350.66","","0.08%"
"08/28/2023","1,350.59","1,350.79","1,355.79","1,347.86","","-0.01%"
"08/25/2023","1,350.79","1,351.06","1,353.21","1,347.24","","-0.02%"
"08/24/2023","1,351.06","1,345.53","1,353.83","1,345.53","","0.44%"
"08/23/2023","1,345.20","1,358.06","1,359.74","1,344.90","","-0.91%"
"08/22/2023","1,357.55","1,352.92","1,359.38","1,351.70","","0.34%"
"08/21/2023","1,352.95","1,352.92","1,358.69","1,349.89","","0.18%"
"08/18/2023","1,350.47","1,361.53","1,362.17","1,347.73","","-0.83%"
"08/17/2023","1,361.72","1,361.41","1,365.08","1,354.58","","0.02%"
"08/16/2023","1,361.41","1,356.73","1,362.18","1,352.20","","0.34%"
"08/15/2023","1,356.73","1,359.01","1,361.02","1,354.88","","-0.17%"
"08/14/2023","1,359.01","1,359.95","1,362.44","1,356.72","","-0.04%"
"08/11/2023","1,359.56","1,366.43","1,367.20","1,355.79","","-0.48%"
"08/10/2023","1,366.11","1,361.41","1,367.24","1,361.41","","0.35%"
"08/09/2023","1,361.41","1,360.67","1,365.95","1,357.12","","0.05%"
"08/08/2023","1,360.67","1,366.39","1,368.13","1,356.72","","-0.46%"
"08/07/2023","1,366.93","1,364.96","1,370.94","1,364.96","","0.08%"
"08/04/2023","1,365.88","1,360.01","1,368.26","1,359.54","","0.44%"
"08/03/2023","1,359.94","1,361.07","1,363.39","1,354.40","","-0.06%"
"08/02/2023","1,360.81","1,360.01","1,364.91","1,355.30","","0.06%"
"08/01/2023","1,360.01","1,360.79","1,364.51","1,354.73","","-0.03%"
"07/31/2023","1,360.47","1,354.41","1,365.54","1,354.33","","0.45%"
"07/28/2023","1,354.41","1,349.21","1,358.16","1,342.68","","0.44%"
"07/27/2023","1,348.42","1,341.89","1,355.71","1,336.04","","0.56%"
"07/26/2023","1,340.91","1,335.82","1,343.09","1,335.82","","0.42%"
"07/25/2023","1,335.33","1,333.60","1,339.33","1,333.34","","0.13%"
"07/24/2023","1,333.60","1,332.66","1,335.57","1,330.76","","-0.11%"
"07/21/2023","1,335.07","1,327.09","1,335.60","1,325.57","","0.60%"
"07/20/2023","1,327.09","1,324.97","1,328.46","1,323.93","","0.17%"
"07/19/2023","1,324.80","1,317.89","1,325.37","1,317.89","","0.54%"
"07/18/2023","1,317.73","1,309.18","1,318.61","1,309.18","","0.61%"
"07/17/2023","1,309.69","1,310.94","1,311.21","1,305.12","","-0.10%"
"07/14/2023","1,310.94","1,304.58","1,311.15","1,304.58","","0.49%"
"07/13/2023","1,304.58","1,295.65","1,308.37","1,295.37","","0.41%"
"07/12/2023","1,299.31","1,283.58","1,300.87","1,283.47","","1.16%"
"07/11/2023","1,284.35","1,277.52","1,284.35","1,275.10","","0.53%"
"07/10/2023","1,277.52","1,281.92","1,282.23","1,274.01","","-0.48%"
"07/07/2023","1,283.70","1,286.09","1,286.09","1,280.35","","-0.17%"
"07/04/2023","1,285.93","1,285.25","1,293.49","1,285.25","","0.06%"
"07/03/2023","1,285.18","1,275.41","1,287.15","1,275.41","","0.79%"
"06/30/2023","1,275.15","1,263.54","1,275.96","1,261.90","","1.00%"
"06/29/2023","1,262.48","1,292.70","1,293.33","1,255.95","","-2.33%"
