"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","3,541.68","3,541.68","3,541.68","3,541.68","","-1.33%"
"09/21/2023","3,589.38","3,589.38","3,589.38","3,589.38","","-1.95%"
"09/20/2023","3,660.61","3,660.61","3,660.61","3,660.61","","0.51%"
"09/19/2023","3,641.89","3,641.89","3,641.89","3,641.89","","1.04%"
"09/18/2023","3,604.23","3,604.23","3,604.23","3,604.23","","-1.11%"
"09/15/2023","3,644.75","3,644.75","3,644.75","3,644.75","","3.10%"
"09/14/2023","3,535.02","3,535.02","3,535.02","3,535.02","","0.94%"
"09/13/2023","3,502.24","3,502.24","3,502.24","3,502.24","","-0.75%"
"09/12/2023","3,528.83","3,528.83","3,528.83","3,528.83","","3.89%"
"09/11/2023","3,396.73","3,396.73","3,396.73","3,396.73","","-0.59%"
"09/08/2023","3,416.98","3,416.98","3,416.98","3,416.98","","0.55%"
"09/07/2023","3,398.18","3,398.18","3,398.18","3,398.18","","0.69%"
"09/06/2023","3,374.85","3,374.85","3,374.85","3,374.85","","-0.33%"
"09/05/2023","3,385.96","3,385.96","3,385.96","3,385.96","","-3.35%"
"09/04/2023","3,503.28","3,503.28","3,503.28","3,503.28","","-0.72%"
"09/01/2023","3,528.76","3,528.76","3,528.76","3,528.76","","0.51%"
"08/31/2023","3,510.86","3,510.86","3,510.86","3,510.86","","-3.46%"
"08/30/2023","3,636.84","3,636.84","3,636.84","3,636.84","","1.30%"
"08/29/2023","3,590.00","3,590.00","3,590.00","3,590.00","","1.46%"
"08/28/2023","3,538.37","3,538.37","3,538.37","3,538.37","","0.98%"
"08/25/2023","3,503.87","3,503.87","3,503.87","3,503.87","","-0.21%"
"08/24/2023","3,511.29","3,511.29","3,511.29","3,511.29","","0.29%"
"08/23/2023","3,501.21","3,501.21","3,501.21","3,501.21","","-1.26%"
"08/22/2023","3,545.79","3,545.79","3,545.79","3,545.79","","-1.78%"
"08/21/2023","3,609.99","3,609.99","3,609.99","3,609.99","","0.00%"
"08/18/2023","3,609.99","3,609.99","3,609.99","3,609.99","","-0.34%"
"08/17/2023","3,622.43","3,622.43","3,622.43","3,622.43","","-0.99%"
"08/16/2023","3,658.68","3,658.68","3,658.68","3,658.68","","1.63%"
"08/15/2023","3,600.14","3,600.14","3,600.14","3,600.14","","-1.64%"
"08/14/2023","3,660.17","3,660.17","3,660.17","3,660.17","","0.57%"
"08/11/2023","3,639.53","3,639.53","3,639.53","3,639.53","","-0.84%"
"08/10/2023","3,670.44","3,670.44","3,670.44","3,670.44","","-1.72%"
"08/09/2023","3,734.68","3,734.68","3,734.68","3,734.68","","-1.37%"
"08/08/2023","3,786.72","3,786.72","3,786.72","3,786.72","","0.55%"
"08/07/2023","3,766.13","3,766.13","3,766.13","3,766.13","","0.00%"
"08/04/2023","3,766.13","3,766.13","3,766.13","3,766.13","","-0.43%"
"08/03/2023","3,782.48","3,782.48","3,782.48","3,782.48","","2.18%"
"08/02/2023","3,701.82","3,701.82","3,701.82","3,701.82","","-2.37%"
"08/01/2023","3,791.53","3,791.53","3,791.53","3,791.53","","0.30%"
"07/31/2023","3,780.18","3,780.18","3,780.18","3,780.18","","1.60%"
"07/28/2023","3,720.67","3,720.67","3,720.67","3,720.67","","-0.39%"
"07/27/2023","3,735.07","3,735.07","3,735.07","3,735.07","","0.46%"
"07/26/2023","3,718.11","3,718.11","3,718.11","3,718.11","","-0.73%"
"07/25/2023","3,745.63","3,745.63","3,745.63","3,745.63","","0.44%"
"07/24/2023","3,729.09","3,729.09","3,729.09","3,729.09","","0.00%"
"07/21/2023","3,729.02","3,729.02","3,729.02","3,729.02","","-0.30%"
"07/20/2023","3,740.16","3,740.16","3,740.16","3,740.16","","0.00%"
"07/19/2023","3,740.16","3,740.16","3,740.16","3,740.16","","0.33%"
"07/18/2023","3,727.77","3,727.77","3,727.77","3,727.77","","1.10%"
"07/17/2023","3,687.35","3,687.35","3,687.35","3,687.35","","-0.31%"
"07/14/2023","3,698.83","3,698.83","3,698.83","3,698.83","","-0.59%"
