"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2023","2,209.64","2,201.49","2,213.86","2,192.24","87.84M","0.59%"
"08/03/2023","2,196.59","2,211.32","2,214.34","2,189.73","99.38M","-1.18%"
"08/02/2023","2,222.74","2,227.64","2,229.43","2,199.59","102.10M","-0.78%"
"08/01/2023","2,240.12","2,247.05","2,252.86","2,239.92","77.24M","-0.48%"
"07/31/2023","2,250.92","2,249.59","2,256.82","2,245.05","107.29M","-0.13%"
"07/28/2023","2,253.85","2,248.47","2,258.64","2,246.35","87.66M","-0.01%"
"07/27/2023","2,254.15","2,245.09","2,265.78","2,237.01","92.96M","0.85%"
"07/26/2023","2,235.23","2,255.76","2,255.76","2,220.08","91.01M","-1.06%"
"07/25/2023","2,259.09","2,244.15","2,261.80","2,233.16","98.72M","0.68%"
"07/24/2023","2,243.81","2,218.66","2,244.18","2,217.99","115.22M","0.73%"
"07/21/2023","2,227.45","2,211.60","2,228.80","2,202.29","198.97M","0.13%"
"07/20/2023","2,224.52","2,219.68","2,225.70","2,199.98","136.59M","-0.50%"
"07/19/2023","2,235.75","2,262.24","2,263.31","2,234.59","149.14M","-1.02%"
"07/18/2023","2,258.83","2,252.39","2,259.58","2,239.62","132.11M","0.70%"
"07/17/2023","2,243.13","2,233.24","2,244.24","2,225.85","114.85M","-0.22%"
"07/14/2023","2,248.08","2,257.49","2,259.26","2,243.04","174.60M","-0.58%"
"07/13/2023","2,261.20","2,263.48","2,270.50","2,254.84","88.17M","-0.13%"
"07/12/2023","2,264.21","2,252.17","2,266.27","2,239.16","129.69M","0.72%"
"07/11/2023","2,247.96","2,253.40","2,253.40","2,231.26","128.45M","0.19%"
"07/10/2023","2,243.79","2,239.27","2,247.93","2,228.70","113.52M","-0.11%"
"07/07/2023","2,246.19","2,237.64","2,254.68","2,227.33","128.52M","0.34%"
"07/06/2023","2,238.51","2,264.75","2,270.18","2,229.36","164.42M","-1.79%"
"07/05/2023","2,279.42","2,284.66","2,296.76","2,274.44","177.47M","-0.72%"
"07/04/2023","2,295.93","2,295.77","2,301.84","2,290.29","143.25M","0.06%"
"07/03/2023","2,294.59","2,312.83","2,316.34","2,294.59","86.00M","-0.66%"
"06/30/2023","2,309.90","2,291.15","2,314.18","2,290.61","127.79M","1.10%"
"06/29/2023","2,284.77","2,259.15","2,292.50","2,259.05","123.03M","1.00%"
"06/28/2023","2,262.07","2,257.04","2,268.47","2,254.69","155.54M","0.78%"
"06/27/2023","2,244.60","2,240.03","2,244.62","2,220.87","124.62M","0.27%"
"06/26/2023","2,238.50","2,224.07","2,240.29","2,205.37","165.62M","0.14%"
"06/22/2023","2,235.41","2,246.03","2,246.03","2,224.29","191.75M","-1.33%"
"06/21/2023","2,265.63","2,276.86","2,280.03","2,258.77","133.72M","-0.68%"
"06/20/2023","2,281.16","2,287.93","2,290.23","2,276.95","110.50M","-0.50%"
"06/19/2023","2,292.68","2,310.80","2,312.47","2,289.58","101.64M","-1.29%"
"06/16/2023","2,322.64","2,321.29","2,326.12","2,311.23","237.13M","0.52%"
"06/15/2023","2,310.66","2,306.27","2,317.44","2,292.55","117.11M","-0.09%"
"06/14/2023","2,312.75","2,315.09","2,315.23","2,303.69","114.04M","-0.35%"
"06/13/2023","2,320.96","2,319.38","2,325.57","2,308.98","128.45M","0.93%"
"06/12/2023","2,299.50","2,311.23","2,315.54","2,295.17","108.86M","-0.11%"
"06/09/2023","2,301.98","2,307.05","2,309.13","2,292.92","98.54M","-0.04%"
"06/08/2023","2,302.98","2,299.42","2,311.53","2,295.46","128.50M","-0.10%"
"06/07/2023","2,305.36","2,299.93","2,311.80","2,299.86","191.84M","0.54%"
"06/05/2023","2,293.06","2,295.09","2,311.42","2,288.79","269.97M","0.02%"
"06/02/2023","2,292.50","2,267.84","2,295.03","2,266.15","355.28M","1.78%"
"06/01/2023","2,252.43","2,248.58","2,257.15","2,238.39","239.85M","0.78%"
"05/31/2023","2,234.96","2,240.16","2,259.06","2,233.11","432.05M","-0.89%"
"05/30/2023","2,255.00","2,260.68","2,279.43","2,253.54","112.87M","-0.16%"
"05/29/2023","2,258.64","2,283.05","2,283.63","2,253.34","102.90M","-0.60%"
"05/26/2023","2,272.20","2,242.09","2,276.87","2,239.43","131.29M","1.82%"
"05/25/2023","2,231.57","2,236.13","2,244.19","2,221.04","126.65M","0.08%"
"05/24/2023","2,229.89","2,250.81","2,250.81","2,224.41","125.54M","-1.65%"
"05/23/2023","2,267.34","2,277.08","2,282.26","2,265.62","134.63M","-0.70%"
"05/22/2023","2,283.31","2,285.55","2,286.61","2,276.22","122.86M","-0.22%"
"05/19/2023","2,288.37","2,280.27","2,295.53","2,276.88","135.35M","1.88%"
"05/17/2023","2,246.20","2,233.18","2,248.29","2,232.59","62.34M","0.44%"
"05/16/2023","2,236.25","2,240.74","2,250.84","2,230.64","137.98M","-0.67%"
"05/15/2023","2,251.24","2,245.35","2,252.42","2,239.76","144.61M","0.68%"
"05/12/2023","2,236.03","2,239.25","2,248.75","2,231.45","167.16M","0.27%"
"05/11/2023","2,229.91","2,215.89","2,240.04","2,211.42","222.22M","0.96%"
"05/10/2023","2,208.66","2,224.50","2,232.25","2,189.73","272.50M","-0.67%"
"05/09/2023","2,223.58","2,236.60","2,236.68","2,208.52","267.99M","-0.69%"
"05/08/2023","2,239.10","2,241.33","2,245.21","2,229.39","189.23M","-0.06%"
"05/05/2023","2,240.48","2,232.72","2,240.48","2,210.00","110.92M","0.55%"
"05/04/2023","2,228.17","2,227.75","2,235.29","2,219.91","151.63M","-0.47%"
"05/03/2023","2,238.76","2,241.33","2,255.60","2,228.82","142.81M","0.17%"
"05/02/2023","2,235.03","2,273.63","2,273.63","2,232.29","178.28M","-1.57%"
"04/28/2023","2,270.58","2,277.82","2,285.89","2,247.78","241.96M","-0.02%"
"04/27/2023","2,271.10","2,240.55","2,284.63","2,225.85","199.13M","1.38%"
"04/26/2023","2,240.08","2,247.40","2,247.72","2,221.17","181.35M","-0.41%"
"04/25/2023","2,249.20","2,256.20","2,256.50","2,237.10","114.40M","-0.47%"
