,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozona,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,Turkiye,Philippines,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-04,1228.1,13415.89,5879.4,6554.3,4147.5,7441.8,5290.36,2732.2,558.95,,727.1,10447.79,9809.17,37703.0,1400.11,,3645.94,,308.68,5076.95,,1130.86,,,1125.82,6152.41,3122.04,587.57,6942.0,1431.0,4542.55,3835.73,356.68,394.01,561.65,2758.4,1980.19,1289.1,793.46,2921.28,,395.3,,433.4,45.6
1999-01-05,1244.78,13232.74,5958.2,6660.5,4200.78,7545.8,5263.41,2716.6,566.51,,736.09,10650.69,9891.06,38179.0,1386.24,,3679.7,,309.03,5181.26,,1140.99,,,1119.96,6152.41,3149.06,576.78,7111.0,1437.3,4565.49,3759.87,378.51,408.7,567.89,2823.5,2006.33,1264.7,795.82,2907.14,,399.8,,437.8,45.6
1999-01-06,1272.34,13468.46,6148.8,6805.3,4294.82,7668.8,5442.9,2755.6,583.66,,736.09,10650.69,10233.8,38179.0,1464.97,,3681.92,,312.62,5392.63,,1140.99,,,1132.59,6199.89,3205.68,612.36,7331.0,1449.5,4822.16,3745.15,402.56,427.08,586.48,2886.0,2079.22,1356.9,799.76,2907.14,,413.6,,444.1,46.79
1999-01-07,1269.73,13536.56,6101.2,6802.2,4230.67,7549.7,5345.71,2800.4,561.08,,739.81,10443.39,10693.57,38323.0,1517.88,,3608.86,,307.88,5285.19,,1142.11,,,1137.73,6404.29,3299.09,637.59,6954.0,1451.3,4866.61,3665.25,397.72,457.94,585.89,2763.5,2134.36,1353.2,790.08,3000.75,,409.5,,438.9,46.79
1999-01-08,1275.09,13391.81,6147.2,6868.9,4245.42,7633.7,5370.51,2757.4,559.27,,738.71,10412.29,10722.7,38130.0,1545.18,,3573.96,,307.88,5285.88,,1141.5,,,1168.81,6421.73,3397.84,626.33,6781.0,1451.3,4957.42,3638.55,399.43,439.49,591.7,2721.5,2140.09,1434.5,785.02,3003.54,,413.2,,426.8,46.79
1999-01-11,1263.88,13368.48,6085.0,6842.3,4201.9,7464.4,5266.47,2749.7,545.77,,723.79,10248.59,10634.27,37220.0,1543.08,,3540.3,,309.17,5278.11,,1137.33,,,1172.81,6406.97,3433.21,640.95,6403.0,1451.5,5033.9,3592.2,399.2,437.3,598.46,2670.6,2139.09,1381.3,764.31,2983.56,,407.9,,411.1,49.6
1999-01-12,1239.51,13360.97,6033.6,6700.8,4100.7,7427.2,5196.13,2746.6,536.24,,710.42,10010.49,10711.56,36341.0,1536.98,,3496.83,,307.83,5233.87,,1127.6,,,1158.87,6363.87,3353.22,631.19,5916.0,1444.3,5028.16,3459.64,399.81,436.19,593.33,2667.8,2147.91,1342.0,742.71,2983.34,,407.6,,396.8,48.07
1999-01-13,1234.4,13403.6,5850.1,6632.1,3958.72,7125.0,4982.12,2721.4,507.29,,689.05,9321.69,10273.77,34816.0,1506.06,,3415.15,,296.72,5064.95,,1087.99,,,1148.15,6319.32,3310.46,633.03,5617.0,1442.0,4821.2,3300.42,385.58,419.1,594.04,2447.5,2166.84,1217.9,705.8,2798.21,,386.1,,356.2,44.84
1999-01-14,1212.19,13738.86,5820.2,6594.2,3997.06,7088.0,4902.75,2704.1,514.11,,696.06,9304.19,10183.13,34826.0,1476.39,,3461.41,,299.21,5103.12,,1080.31,,,1148.66,6241.3,3292.28,604.42,5057.0,1442.0,4867.57,3356.59,386.96,408.55,593.34,2554.6,2062.75,1230.0,687.0,2896.4,,391.1,,340.6,43.42
1999-01-15,1243.26,13738.86,5941.0,6759.4,4054.81,7218.1,4973.78,2709.4,528.57,,695.93,9596.29,10147.4,35797.0,1499.81,,3386.29,,299.21,5080.12,,1060.49,,,1137.31,6454.58,3207.85,614.57,6747.0,1442.0,4825.51,3617.77,381.82,402.4,598.97,2482.3,2041.03,1218.7,705.8,2883.34,,383.0,,382.4,42.33
1999-01-18,1243.26,13805.06,6123.9,6822.8,4151.68,7248.1,5076.85,2724.9,544.21,,717.94,10071.49,10402.54,36610.0,1547.1,,3486.35,,302.25,5150.12,,1069.45,,,1153.12,6377.23,3278.58,622.52,7113.0,1442.0,4921.1,3637.77,387.61,402.4,598.97,2482.3,2130.35,1297.7,711.76,2987.36,,390.8,,373.6,43.61
1999-01-19,1252.0,13770.44,6027.6,6758.9,4115.99,7207.7,5038.45,2747.3,548.88,,720.53,9971.69,10290.11,35934.0,1547.1,,3478.72,,301.46,5176.47,,1057.83,,,1158.55,6343.34,3218.91,618.12,7381.0,1442.0,4961.25,3603.43,386.45,402.4,598.97,2482.3,2103.3,1281.5,707.49,2960.85,,392.7,,380.6,44.36
1999-01-20,1256.62,14028.05,6105.6,6712.3,4190.01,7300.2,5197.15,2764.8,553.18,,718.13,10090.09,10314.91,36249.0,1548.27,,3491.13,,304.96,5262.9,,1056.75,,,1151.37,6310.69,3218.91,613.43,7674.0,1442.0,4929.7,3775.41,394.85,402.4,598.97,2482.3,2145.84,1279.9,727.85,3001.53,,397.9,,381.0,45.24
1999-01-21,1235.16,14245.42,6022.3,6635.8,4154.03,7125.4,5163.45,2743.2,543.79,,706.57,9920.79,10048.57,35465.0,1504.06,,3441.63,,301.02,5307.88,,1047.84,,,1158.5,6332.18,3329.93,582.04,7321.0,1442.0,4881.43,3734.2,385.75,402.4,614.52,2482.3,2142.25,1306.6,734.61,3005.21,,397.6,,365.3,45.83
1999-01-22,1225.19,14154.4,5861.2,6593.9,4019.33,7036.4,5008.21,2736.7,518.73,,693.48,9611.99,9738.52,34621.0,1478.75,,3383.77,,301.02,5233.59,,1011.25,,,1162.35,6228.93,3297.86,550.58,7190.0,1442.0,4795.39,3697.03,376.48,402.4,618.54,2482.3,2061.81,1265.1,740.68,2985.75,,394.1,,359.5,44.46
1999-01-25,1233.98,14208.81,5880.9,6618.5,4050.8,7076.2,4988.59,2713.1,525.36,,694.38,9665.59,9499.5,34528.0,1398.02,,3364.86,,295.32,5254.7,,1013.43,,,1148.12,6032.13,3309.15,539.76,7190.0,1446.07,4799.7,3707.8,363.36,382.48,610.19,2408.9,1950.94,1268.2,795.6,2917.38,,395.2,,358.8,44.54
1999-01-26,1252.31,14382.01,5885.7,6663.5,4071.28,7074.6,5001.19,2713.1,526.64,,692.68,9589.59,9509.83,34811.0,1417.14,,3377.05,,294.27,5212.39,,1043.65,,,1138.21,6115.62,3309.15,531.23,7645.0,1436.92,4814.99,3765.97,366.77,398.15,610.88,2440.2,1981.75,1290.0,813.04,3032.25,,394.0,,361.7,44.59
